cell_id,ACKR3,AQP3,ATR,CCR1,CCR2,CD58,CD79A,CHEK1,CLEC12A,CSPG4,CXCL9,DLL4,EPHA3,FCGR3A/B,FKBP5,HMGB2,HSP90AB1,IGHA1,LYVE1,MAML2,MS4A1,MT1X,NKG7,OAS2,OAS3,PDGFRB,RGS1,S100B,SPRY4,TGFB2
c_1_1_32,-0.27305590396317275,-0.264010411074485,-0.2241937545249673,-0.2607275416308777,-0.20602406382866492,-0.1934760454922901,-0.21856010018889294,-0.1972823145517373,-0.18169450516984523,-0.2124209595436331,-0.2277694416999769,-0.25921459078834774,-0.19846978824812558,-0.3023241322151564,-0.20663777103239883,-0.2294692236989992,-0.2855707259602726,-0.4406459316342398,-0.15328910106344448,-0.21103480507562797,6.116057703942293,-0.26721246341394284,-0.24627603754655958,-0.24695540410582106,-0.1837037523332745,-0.261084100705302,-0.21394847917322685,-0.19175497073401485,-0.17266189374135374,-0.21158518665451737
c_1_1_33,-0.27305590396317275,-0.264010411074485,2.439807972819627,-0.2607275416308777,-0.20602406382866492,-0.1934760454922901,-0.21856010018889294,-0.1972823145517373,-0.18169450516984523,-0.2124209595436331,2.515934834676364,-0.25921459078834774,-0.19846978824812558,-0.3023241322151564,-0.20663777103239883,-0.2294692236989992,-0.2855707259602726,-0.4406459316342398,-0.15328910106344448,-0.21103480507562797,-0.223560858014181,-0.26721246341394284,-0.24627603754655958,-0.24695540410582106,-0.1837037523332745,-0.261084100705302,2.5748106218609492,-0.19175497073401485,-0.17266189374135374,-0.21158518665451737
c_1_1_34,-0.27305590396317275,-0.264010411074485,-0.2241937545249673,-0.2607275416308777,4.204364871412769,-0.1934760454922901,-0.21856010018889294,3.1396976114870587,-0.18169450516984523,-0.2124209595436331,-0.2277694416999769,-0.25921459078834774,-0.19846978824812558,2.0608428574479323,-0.20663777103239883,-0.2294692236989992,-0.2855707259602726,-0.4406459316342398,-0.15328910106344448,-0.21103480507562797,-0.223560858014181,-0.26721246341394284,-0.24627603754655958,-0.24695540410582106,-0.1837037523332745,-0.261084100705302,-0.21394847917322685,-0.19175497073401485,-0.17266189374135374,-0.21158518665451737
c_1_1_35,-0.27305590396317275,1.9958334726519003,-0.2241937545249673,-0.2607275416308777,-0.20602406382866492,2.575196024842274,-0.21856010018889294,-0.1972823145517373,-0.18169450516984523,-0.2124209595436331,-0.2277694416999769,-0.25921459078834774,-0.19846978824812558,-0.3023241322151564,-0.20663777103239883,2.187192859554651,3.078783727162203,0.6018948580542837,-0.15328910106344448,-0.21103480507562797,-0.223560858014181,1.762229440618046,-0.24627603754655958,-0.24695540410582106,-0.1837037523332745,2.8269962043042534,-0.21394847917322685,-0.19175497073401485,-0.17266189374135374,-0.21158518665451737
c_1_1_36,-0.27305590396317275,-0.264010411074485,4.246846498647641,-0.2607275416308777,-0.20602406382866492,-0.1934760454922901,-0.21856010018889294,3.626265166850686,-0.18169450516984523,3.494022641067859,-0.2277694416999769,-0.25921459078834774,-0.19846978824812558,-0.3023241322151564,-0.20663777103239883,-0.2294692236989992,-0.2855707259602726,-0.4406459316342398,-0.15328910106344448,-0.21103480507562797,-0.223560858014181,-0.26721246341394284,-0.24627603754655958,-0.24695540410582106,-0.1837037523332745,-0.261084100705302,-0.21394847917322685,-0.19175497073401485,-0.17266189374135374,4.527373258833558
c_1_1_37,-0.27305590396317275,-0.264010411074485,2.5503948129278804,-0.2607275416308777,-0.20602406382866492,-0.1934760454922901,2.969994335250964,-0.1972823145517373,-0.18169450516984523,-0.2124209595436331,-0.2277694416999769,-0.25921459078834774,-0.19846978824812558,-0.3023241322151564,-0.20663777103239883,-0.2294692236989992,-0.2855707259602726,-0.4406459316342398,-0.15328910106344448,-0.21103480507562797,2.867224680172758,-0.26721246341394284,2.5294058257454464,-0.24695540410582106,-0.1837037523332745,-0.261084100705302,-0.21394847917322685,3.141915487120617,-0.17266189374135374,-0.21158518665451737
c_1_1_38,-0.27305590396317275,-0.264010411074485,-0.2241937545249673,-0.2607275416308777,2.0749780992280433,2.1480017949522905,-0.21856010018889294,2.14656784170085,-0.18169450516984523,-0.2124209595436331,-0.2277694416999769,1.629149269842101,-0.19846978824812558,-0.3023241322151564,-0.20663777103239883,-0.2294692236989992,-0.2855707259602726,-0.4406459316342398,-0.15328910106344448,-0.21103480507562797,-0.223560858014181,-0.26721246341394284,-0.24627603754655958,-0.24695540410582106,-0.1837037523332745,1.5904230944101236,-0.21394847917322685,-0.19175497073401485,-0.17266189374135374,-0.21158518665451737
c_1_1_39,-0.27305590396317275,-0.264010411074485,-0.2241937545249673,-0.2607275416308777,-0.20602406382866492,-0.1934760454922901,-0.21856010018889294,-0.1972823145517373,-0.18169450516984523,-0.2124209595436331,-0.2277694416999769,-0.25921459078834774,-0.19846978824812558,-0.3023241322151564,-0.20663777103239883,-0.2294692236989992,-0.2855707259602726,-0.4406459316342398,-0.15328910106344448,-0.21103480507562797,-0.223560858014181,-0.26721246341394284,-0.24627603754655958,-0.24695540410582106,-0.1837037523332745,-0.261084100705302,-0.21394847917322685,-0.19175497073401485,-0.17266189374135374,-0.21158518665451737
c_1_1_40,-0.27305590396317275,-0.264010411074485,-0.2241937545249673,-0.2607275416308777,-0.20602406382866492,-0.1934760454922901,-0.21856010018889294,-0.1972823145517373,-0.18169450516984523,-0.2124209595436331,-0.2277694416999769,-0.25921459078834774,-0.19846978824812558,2.085898753764866,-0.20663777103239883,-0.2294692236989992,-0.2855707259602726,-0.4406459316342398,-0.15328910106344448,-0.21103480507562797,-0.223560858014181,-0.26721246341394284,-0.24627603754655958,-0.24695540410582106,-0.1837037523332745,-0.261084100705302,-0.21394847917322685,-0.19175497073401485,-0.17266189374135374,-0.21158518665451737
c_1_1_41,-0.27305590396317275,-0.264010411074485,-0.2241937545249673,-0.2607275416308777,-0.20602406382866492,-0.1934760454922901,-0.21856010018889294,-0.1972823145517373,2.679613998706214,-0.2124209595436331,2.1662017196486336,-0.25921459078834774,-0.19846978824812558,-0.3023241322151564,-0.20663777103239883,-0.2294692236989992,-0.2855707259602726,-0.4406459316342398,-0.15328910106344448,-0.21103480507562797,-0.223560858014181,2.528394808117773,2.0790679742541864,-0.24695540410582106,-0.1837037523332745,1.8237625873697796,-0.21394847917322685,2.601047309313814,-0.17266189374135374,-0.21158518665451737
c_1_1_42,-0.27305590396317275,-0.264010411074485,-0.2241937545249673,-0.2607275416308777,-0.20602406382866492,-0.1934760454922901,-0.21856010018889294,-0.1972823145517373,-0.18169450516984523,3.675144906639017,-0.2277694416999769,-0.25921459078834774,-0.19846978824812558,-0.3023241322151564,-0.20663777103239883,-0.2294692236989992,-0.2855707259602726,-0.4406459316342398,-0.15328910106344448,-0.21103480507562797,-0.223560858014181,-0.26721246341394284,-0.24627603754655958,-0.24695540410582106,-0.1837037523332745,2.906895763129392,-0.21394847917322685,4.051982200670177,-0.17266189374135374,-0.21158518665451737
c_1_1_43,-0.27305590396317275,-0.264010411074485,-0.2241937545249673,-0.2607275416308777,-0.20602406382866492,-0.1934760454922901,-0.21856010018889294,-0.1972823145517373,-0.18169450516984523,-0.2124209595436331,-0.2277694416999769,-0.25921459078834774,-0.19846978824812558,-0.3023241322151564,-0.20663777103239883,-0.2294692236989992,-0.2855707259602726,-0.4406459316342398,-0.15328910106344448,-0.21103480507562797,-0.223560858014181,-0.26721246341394284,-0.24627603754655958,-0.24695540410582106,2.9369521538424115,-0.261084100705302,-0.21394847917322685,-0.19175497073401485,-0.17266189374135374,-0.21158518665451737
c_1_1_44,-0.27305590396317275,-0.264010411074485,-0.2241937545249673,-0.2607275416308777,2.5538265281749233,-0.1934760454922901,-0.21856010018889294,-0.1972823145517373,-0.18169450516984523,-0.2124209595436331,-0.2277694416999769,-0.25921459078834774,-0.19846978824812558,-0.3023241322151564,-0.20663777103239883,-0.2294692236989992,-0.2855707259602726,-0.4406459316342398,-0.15328910106344448,-0.21103480507562797,-0.223560858014181,-0.26721246341394284,-0.24627603754655958,-0.24695540410582106,-0.1837037523332745,-0.261084100705302,-0.21394847917322685,-0.19175497073401485,-0.17266189374135374,-0.21158518665451737
c_1_1_45,-0.27305590396317275,-0.264010411074485,-0.2241937545249673,-0.2607275416308777,-0.20602406382866492,-0.1934760454922901,-0.21856010018889294,-0.1972823145517373,3.440492236883342,-0.2124209595436331,2.8028057618294295,-0.25921459078834774,-0.19846978824812558,2.063734660355221,-0.20663777103239883,-0.2294692236989992,-0.2855707259602726,-0.4406459316342398,-0.15328910106344448,-0.21103480507562797,-0.223560858014181,-0.26721246341394284,2.697422706873164,-0.24695540410582106,3.528425603548925,-0.261084100705302,-0.21394847917322685,-0.19175497073401485,-0.17266189374135374,-0.21158518665451737
c_1_1_47,2.6321622491165293,-0.264010411074485,-0.2241937545249673,-0.2607275416308777,-0.20602406382866492,-0.1934760454922901,-0.21856010018889294,-0.1972823145517373,-0.18169450516984523,2.5222541430350134,-0.2277694416999769,2.935190514044521,-0.19846978824812558,1.6954925980992863,-0.20663777103239883,-0.2294692236989992,-0.2855707259602726,-0.4406459316342398,-0.15328910106344448,-0.21103480507562797,2.544162380866954,1.798548853427419,-0.24627603754655958,-0.24695540410582106,-0.1837037523332745,-0.261084100705302,-0.21394847917322685,-0.19175497073401485,-0.17266189374135374,-0.21158518665451737
