cell_id,cell_type
c_1_20_359,Epithelial
c_1_20_360,Lymphoid-Other
c_1_20_361,Lymphoid-B
c_1_20_362,Lymphoid-Other
c_1_20_363,Lymphoid-T
c_1_20_364,Lymphoid-B
c_1_20_365,Lymphoid-B
c_1_20_366,Lymphoid-B
c_1_20_367,Lymphoid-T
c_1_20_368,Lymphoid-T
c_1_20_369,Endothelial
c_1_20_370,Lymphoid-B
c_1_20_371,Lymphoid-Other
c_1_20_372,Lymphoid-B
c_1_20_373,Lymphoid-B
c_1_20_374,Lymphoid-Other
c_1_20_375,Lymphoid-B
c_1_20_376,Lymphoid-B
c_1_20_377,Lymphoid-B
c_1_20_378,Lymphoid-Other
c_1_20_379,Stem
c_1_20_380,Endothelial
c_1_20_381,Epithelial
c_1_20_382,Lymphoid-B
c_1_20_383,Endothelial
c_1_20_384,Lymphoid-B
c_1_20_385,Epithelial
c_1_20_386,Lymphoid-Other
c_1_20_387,Lymphoid-B
c_1_20_388,Lymphoid-T
c_1_20_389,Lymphoid-B
c_1_20_390,Lymphoid-Other
c_1_20_391,Lymphoid-DC
c_1_20_392,Mesenchymal-Stromal
c_1_20_393,Lymphoid-B
c_1_20_394,Lymphoid-Other
c_1_20_395,Lymphoid-B
c_1_20_396,Lymphoid-T
c_1_20_397,Lymphoid-DC
c_1_20_398,Endothelial
c_1_20_399,Endothelial
c_1_20_400,Lymphoid-B
c_1_20_401,Lymphoid-B
c_1_20_402,Lymphoid-B
c_1_20_403,Epithelial
c_1_20_404,Lymphoid-T
c_1_20_405,Endothelial
c_1_20_406,Lymphoid-B
c_1_20_407,Lymphoid-B
c_1_20_408,Lymphoid-DC
c_1_20_409,Lymphoid-Other
c_1_20_410,Lymphoid-B
c_1_20_411,Lymphoid-B
c_1_20_412,Lymphoid-Other
c_1_20_413,Myeloid
c_1_20_414,Stem
c_1_20_415,None
c_1_20_416,Lymphoid-B
c_1_20_417,Lymphoid-T
c_1_20_418,Endothelial
c_1_20_419,Lymphoid-Other
c_1_20_420,Epithelial
c_1_20_421,Lymphoid-Other
c_1_20_422,Endothelial
c_1_20_423,Endothelial
c_1_20_424,Lymphoid-B
c_1_20_425,Lymphoid-B
c_1_20_426,Myeloid
c_1_20_427,Lymphoid-Other
c_1_20_428,Lymphoid-DC
c_1_20_429,Lymphoid-B
c_1_20_430,Endothelial
c_1_20_431,Lymphoid-Plasma
c_1_20_432,Lymphoid-Plasma
c_1_20_433,Mesenchymal-Stromal
