cell_id,4-1BB,Bcl-2,CCR7,CD123,CD14,CD15,CD16,CD31,CD34,CD39,CD40,CD45RA,CD68,FABP4,FOXP3,GITR,GZMA,ICAM1,ICOS,IDO1,IL-18,IgD,Ki-67,LAMP1,PD-1,PD-L2,VISTA,Vimentin,iNOS,pan-RAS
c_1_20_39,1.5049734,0.3067431,-0.018771458,-0.7863807,-0.059821732,-0.9176432,-0.91845864,0.04692304,-1.1353104,0.17048596,1.3404303,1.2574475,0.3691334,-1.1566734,-0.97761875,-1.306507,-1.2146904,1.4333776,-0.37416643,-0.2659976,1.966643,-0.1722059,-0.9054844,1.1259215,0.19098069,-1.161407,-0.28290203,0.66488534,0.0752706,-0.15207946
c_1_20_40,2.293005,0.6207607,-0.023881327,-0.4806023,0.03363293,-0.7963452,-0.5807276,0.22695185,-1.18005,-0.2154613,1.3019099,1.4907496,-1.244698,-0.80339885,-0.3133288,-1.299228,-0.967849,1.0811217,0.08345961,-1.0291815,-0.06002678,0.0756374,-1.0127888,0.6225043,1.3335251,0.32739946,-0.36472937,0.78061086,0.026098032,0.18333516
c_1_20_41,-0.5630459,1.3358676,1.8346595,-0.05707998,0.96333885,-1.1508689,-1.2198958,-0.5720974,-0.7295842,0.4288086,1.494316,1.4592456,-0.86054116,-1.0215595,0.117718786,-0.39579406,-0.75249195,0.6290414,0.77637005,2.7801425,0.34931034,0.5199897,-0.56263816,0.45111117,0.72457033,-0.6883889,1.2275536,0.6783362,0.60589314,-0.414739
c_1_20_42,1.1746862,0.73301816,3.1998212,-0.6851011,0.51964635,-1.304972,-0.60147214,-0.8256001,-0.7812011,1.261091,1.4976264,0.35624948,-1.6266289,-0.7089055,1.5986665,-1.02362,-0.49534628,1.2305102,-0.370803,1.2754103,0.92575234,0.8585004,0.5393019,0.05952876,0.64297026,-0.91806966,0.31323782,0.52021575,-0.04724064,-0.15823984
c_1_20_43,-0.035501048,-0.95512164,-0.68875986,-1.1629192,-1.461068,-0.7925665,-0.55801237,0.34870043,-0.8439331,-1.0220534,1.1105958,0.877444,-1.7309233,-1.5742108,0.52219,-1.4513156,-0.6007259,1.077481,-0.3876782,-1.1858782,-1.1536182,0.18712413,2.1393785,-1.0441,-0.7658725,-1.3287482,-1.9583935,-0.069582276,-0.35438326,-0.04297816
c_1_20_44,0.43346214,1.6238428,2.9939592,0.90086085,0.6080709,-0.83072007,-0.24598595,-0.0012110049,0.21831393,1.2409555,1.9926429,1.8687863,-0.8277241,-0.21039991,1.3993223,-0.36020258,-0.6480769,0.791673,0.3149214,2.867505,0.97721815,0.098125644,0.20259674,0.30696228,0.72384924,0.45776498,1.120369,0.21511503,-0.14488254,0.549179
c_1_20_45,-0.5684956,0.9995598,3.4298725,0.42963848,1.1332809,-1.16942,-0.8759871,-0.87821954,-0.684712,0.0022798346,1.6808488,-0.5819586,-0.9890538,-0.32430825,0.7836799,-1.3200837,-0.29331505,1.3338851,2.872846,1.2134612,0.80507165,0.4686025,-0.56666505,0.01207693,1.5227032,-0.86817694,1.3132246,0.20011276,0.6152988,-0.14410391
c_1_20_46,0.026601855,0.4745481,4.991419,1.1974789,0.5315709,-1.0874172,-0.7839834,-0.37648308,0.1437282,0.8590569,2.999655,0.123024434,-1.5116421,-0.26373196,1.4215894,-0.77349365,-0.53254557,1.4343222,0.80620354,5.064038,1.2845619,-0.27541086,-0.5173043,-0.60886645,0.5251591,0.32739946,1.1386465,0.8649544,0.27135473,1.0380818
c_1_20_47,0.16989309,0.54185003,2.9116805,0.03902752,0.18179074,-1.0477862,-0.9299923,-0.7502455,-0.58508164,0.83584535,1.4402909,0.13606659,-1.767291,-0.8330688,-0.3547458,-0.6518504,-0.80326855,1.0509069,1.5862303,1.1563255,0.20632716,0.94551647,-0.6983675,0.10882583,1.2784971,-1.1448368,0.011352303,0.35294205,0.35180774,-0.46427602
c_1_20_48,1.7847419,0.97756433,-0.054996997,0.057232935,0.08418914,-0.6476165,-0.66307855,0.23096506,-0.6174647,-0.20432419,1.3858714,1.1308577,-0.95168513,-0.28516483,0.66044897,-0.010548907,0.16244674,2.1350389,3.4969878,-0.27136922,0.76827246,0.7612777,1.1693206,1.1507834,4.729595,0.7626141,0.9726576,0.45889053,0.551078,0.56381434
c_1_20_49,1.0834047,1.1832445,0.3187169,-0.52653104,0.5565447,-0.76261973,-0.7553956,-0.18334483,-1.1118326,0.115293905,1.6691421,1.7286432,0.071948074,-1.4288613,-0.009429493,-1.1521521,-1.4745443,1.2446176,-0.104026444,-0.6284991,0.13249703,-0.49714422,-0.16224627,0.7876041,-0.36293504,-1.04186,-0.5639613,0.47890204,0.18244146,-0.28152183
c_1_20_50,0.4085837,-0.2787398,-0.062372405,-0.3314289,1.9084321,-0.32381785,1.5062349,-0.7666397,-0.005404459,0.517722,1.8918129,0.9375686,-0.58331406,-1.0670246,-0.25730985,-0.7377614,-0.7157018,1.0030601,0.7017021,-0.68608856,0.08447481,-0.8889642,-0.8367644,0.6783265,0.537786,0.026273513,0.29813373,0.31913725,0.09123539,-0.27096933
c_1_20_51,-0.5500258,2.2948143,2.435432,-0.3380104,-0.2467028,-0.96274495,-1.1748593,-0.0012110049,-0.31184226,1.1724548,1.7233319,1.9569049,-1.2393922,-0.8377431,0.18147975,-1.444694,-0.77222157,0.9610352,-0.12468294,2.3555186,0.4353842,0.054930452,-0.08125969,-0.3096601,0.65418047,-0.28299153,0.6316283,0.4448079,-0.12826657,-0.21021013
c_1_20_52,-0.7822955,0.7687364,2.4257677,-0.07471158,0.85895956,-1.304972,-0.7248227,-0.7367309,-0.11125971,0.59312266,1.4259164,0.48055074,0.31142268,-0.31117904,0.8172151,-1.5230892,-0.508978,0.28387132,0.18237591,1.3007654,1.1765856,0.11228186,-0.6032843,1.1363927,0.46007028,-1.1988211,1.2087779,0.40285024,-0.20454039,0.052960686
c_1_20_53,-0.25262544,0.5307909,2.259616,0.18223402,0.5058631,-1.2553709,-0.9242145,-0.3973679,-0.502882,0.0737282,0.9883515,-0.18126278,-2.2651105,-1.0838064,0.94264203,-1.0051407,-0.8055027,1.0459456,2.3180578,2.5463963,-0.2497478,0.5056943,0.054953814,-0.1639252,1.1278586,-0.08127517,1.7389749,0.44680157,0.25353914,-0.25851884
c_1_20_54,-0.81650966,1.0394027,-0.43498453,-1.5881696,-1.3186004,-0.56597847,-0.49187604,0.37663168,-1.3990905,-0.8251714,0.91899794,0.6800464,-1.9768775,-1.9754448,0.010224778,-1.4824573,-1.2802961,0.53776884,0.117860585,-1.2414191,-1.0396581,0.16189227,-0.071210645,-0.51377076,0.5188175,-0.9785141,-1.3183867,0.8838309,-0.19224723,-1.2696322
c_1_20_55,1.1271771,1.8468633,-0.4831957,0.08635084,-0.09454414,-0.37386894,-0.74513453,0.2639633,-0.6304891,-0.5641052,1.2707063,1.3719065,-1.5078247,-0.6371264,0.5386242,0.22730218,-0.49340603,1.304865,3.220686,-0.32443357,0.0866301,0.6841403,1.5114527,0.6138516,4.8071113,0.3599076,0.4871257,0.40974316,0.33428377,0.15150058
c_1_20_56,1.2005594,0.89629126,3.328857,1.1740543,0.38138273,-0.8384496,-0.44726986,0.7188678,-0.62818134,0.51871294,2.4410033,1.3028688,-1.0867375,-0.4201365,1.7999597,-0.82595295,-0.22531445,1.2363148,0.43911943,3.1762564,1.3484335,0.26247665,-0.5291332,0.038843974,1.4066954,0.53545034,2.324738,0.1482199,0.26425922,0.6945615
c_1_20_57,0.1407939,-0.4678709,-0.7336311,-1.0624851,-0.8564391,-0.905538,-0.5070471,0.10519173,-1.0671633,-0.88003176,1.1431733,0.6918871,-1.6826546,-1.4740772,-0.14349419,-0.9541324,-0.8189578,1.5281048,0.8264556,-0.680243,-1.2580711,0.6697283,2.5498674,-0.26783043,1.5464506,-0.3423826,-0.9640321,-0.16946267,-0.23615395,-0.065672696
c_1_20_58,-0.2054871,2.444856,1.5300097,0.35820687,0.06303985,-0.94210285,-1.1444601,-0.525147,-0.3239983,0.61679906,1.8251646,1.9920377,-1.4865876,-0.386697,1.1062708,-1.2095226,-1.1826077,0.074792154,0.36183748,1.3809246,0.19195108,0.085896775,-0.060589395,0.29986432,0.5760012,-0.5922486,0.32120907,0.37654284,0.12604566,0.120137595
c_1_20_59,-0.11260603,0.16249645,0.6580454,-0.073237136,1.1239944,-0.7663357,-0.498359,-0.99635214,-0.60381246,-0.09151687,1.2586507,0.86728525,-1.3996075,-1.4400736,0.34440294,-0.86214185,-0.71355665,0.7016431,1.2662871,-0.16191539,0.3570045,-1.1613047,-0.73755276,0.09807615,0.61734307,-0.9364938,0.4221042,0.25484124,-0.004484754,-0.60939944
c_1_20_60,-0.7762458,-1.3039167,-0.7464953,-2.0313935,-1.4324918,-1.0477862,-1.0318145,0.5818305,-1.0229176,-0.94765496,0.9334438,0.6485629,-2.5606806,-1.8169278,-0.3339649,-1.8750752,-1.3450613,-0.04527629,-0.154573,-1.3812829,-1.0120097,0.53416485,2.454226,-1.6333644,-1.240536,-1.0527986,-1.5368083,-1.1113034,-0.8272079,-0.7484335
c_1_20_61,-0.55110765,0.5107269,3.5808773,0.92905825,0.22936943,-0.8423269,-1.4311817,-0.6182271,-0.4724742,0.70857525,2.083439,-0.54160815,-1.825883,-1.073302,-0.17521825,-0.722138,-0.8099788,1.0791005,2.6004117,0.82955587,0.097377345,0.86624783,-0.7525619,0.06507508,2.0141585,-0.36194178,0.68487847,0.16580947,0.41833955,-0.06157761
c_1_20_62,-0.45080957,2.0066714,-0.032101866,-0.50168973,0.24935256,-0.56597847,-1.2736136,0.3113989,0.6032754,0.44644552,1.5310056,2.5674171,-1.70452,-0.24885844,-0.10970491,-1.0572381,-1.1301559,1.0823333,0.12571463,-0.28836,0.48137122,0.5820982,-0.8694125,0.29201117,0.38789046,-1.3817915,0.6572982,0.51088154,-0.0033792683,0.0018388152
c_1_20_63,-1.9117205,-1.2513314,-0.9424085,-1.0849411,0.7945408,-0.77379096,-0.371792,-1.3493828,1.5806963,-0.59121454,-1.436588,-1.3615193,0.3341385,-2.0494003,-1.5042777,-2.5526338,-1.5019962,-1.2982153,-0.3507413,-1.3973788,-1.7956759,-1.2312678,-1.8567331,0.31525394,-2.502483,-0.66268337,-0.855349,0.21443906,-1.4111557,0.26148158
