cell_id,AKT1,ARF1,BBLN,BCL2,BTG1,CALM3,CD59,CLEC1A,COL17A1,CST7,CTLA4,DHRS2,ETS1,HBA1/2,HBB,IFI44L,IL16,IL4R,ISG15,KRT15,MIF,PTK6,RARG,RELA,S100B,SERPINH1,SFN,SPINK1,TNFSF12,WNT5B
c_1_12_21,-0.22225631941361004,-0.38886157908887825,2.900833822796613,-0.2891791049819793,2.028745980907807,-0.2938613491804275,2.961390174343283,-0.19575640329480506,-0.2149923871840122,-0.20659494166240935,-0.19969549602875405,-0.21950978787684539,-0.2475658321942903,1.7999589869361432,-0.22589637196088774,-0.20600861176513674,-0.20553327802997204,-0.20764692465332985,-0.2855704004188244,-0.17077695932670814,1.632055072694105,4.000113837842258,-0.2270089525400925,-0.25096850501012746,-0.17497504791999413,-0.24609998606220557,-0.32971716265730716,-0.26999446712920233,-0.21991673643285312,-0.2005345260979216
c_1_12_22,-0.22225631941361004,1.908926154391076,-0.2444526449260917,-0.2891791049819793,-0.3471575089390779,-0.2938613491804275,-0.24919425551565288,-0.19575640329480506,-0.2149923871840122,-0.20659494166240935,-0.19969549602875405,-0.21950978787684539,-0.2475658321942903,-0.3315646059401491,-0.22589637196088774,-0.20600861176513674,-0.20553327802997204,-0.20764692465332985,-0.2855704004188244,-0.17077695932670814,1.6724426844423872,-0.2669828033028749,-0.2270089525400925,-0.25096850501012746,-0.17497504791999413,-0.24609998606220557,-0.32971716265730716,-0.26999446712920233,-0.21991673643285312,-0.2005345260979216
c_1_12_23,-0.22225631941361004,-0.38886157908887825,-0.2444526449260917,-0.2891791049819793,-0.3471575089390779,-0.2938613491804275,-0.24919425551565288,-0.19575640329480506,-0.2149923871840122,-0.20659494166240935,-0.19969549602875405,-0.21950978787684539,-0.2475658321942903,-0.3315646059401491,-0.22589637196088774,-0.20600861176513674,-0.20553327802997204,-0.20764692465332985,2.0286442210260676,-0.17077695932670814,2.0688386420510487,-0.2669828033028749,-0.2270089525400925,-0.25096850501012746,-0.17497504791999413,-0.24609998606220557,-0.32971716265730716,-0.26999446712920233,-0.21991673643285312,-0.2005345260979216
c_1_12_24,-0.22225631941361004,-0.38886157908887825,-0.2444526449260917,-0.2891791049819793,-0.3471575089390779,-0.2938613491804275,-0.24919425551565288,-0.19575640329480506,-0.2149923871840122,-0.20659494166240935,-0.19969549602875405,-0.21950978787684539,-0.2475658321942903,-0.3315646059401491,-0.22589637196088774,-0.20600861176513674,-0.20553327802997204,-0.20764692465332985,3.4968816818728112,-0.17077695932670814,-0.43662555660477204,-0.2669828033028749,-0.2270089525400925,-0.25096850501012746,-0.17497504791999413,-0.24609998606220557,-0.32971716265730716,-0.26999446712920233,-0.21991673643285312,-0.2005345260979216
c_1_12_25,-0.22225631941361004,-0.38886157908887825,-0.2444526449260917,-0.2891791049819793,1.000644061776498,2.180937560754572,-0.24919425551565288,-0.19575640329480506,-0.2149923871840122,-0.20659494166240935,-0.19969549602875405,-0.21950978787684539,-0.2475658321942903,-0.3315646059401491,-0.22589637196088774,-0.20600861176513674,-0.20553327802997204,-0.20764692465332985,1.2841911106794885,-0.17077695932670814,-0.43662555660477204,-0.2669828033028749,-0.2270089525400925,-0.25096850501012746,-0.17497504791999413,-0.24609998606220557,-0.32971716265730716,1.4530712946916027,-0.21991673643285312,-0.2005345260979216
c_1_12_26,-0.22225631941361004,-0.38886157908887825,-0.2444526449260917,-0.2891791049819793,-0.3471575089390779,-0.2938613491804275,-0.24919425551565288,-0.19575640329480506,-0.2149923871840122,-0.20659494166240935,-0.19969549602875405,-0.21950978787684539,-0.2475658321942903,-0.3315646059401491,-0.22589637196088774,-0.20600861176513674,-0.20553327802997204,-0.20764692465332985,-0.2855704004188244,-0.17077695932670814,-0.43662555660477204,-0.2669828033028749,-0.2270089525400925,-0.25096850501012746,-0.17497504791999413,-0.24609998606220557,-0.32971716265730716,-0.26999446712920233,-0.21991673643285312,-0.2005345260979216
c_1_12_27,-0.22225631941361004,1.239042236933509,-0.2444526449260917,-0.2891791049819793,-0.3471575089390779,-0.2938613491804275,-0.24919425551565288,-0.19575640329480506,-0.2149923871840122,-0.20659494166240935,-0.19969549602875405,-0.21950978787684539,-0.2475658321942903,-0.3315646059401491,-0.22589637196088774,-0.20600861176513674,-0.20553327802997204,-0.20764692465332985,-0.2855704004188244,-0.17077695932670814,1.057576970385194,-0.2669828033028749,-0.2270089525400925,-0.25096850501012746,-0.17497504791999413,-0.24609998606220557,-0.32971716265730716,-0.26999446712920233,3.331057796967856,2.2062105446539046
c_1_12_28,-0.22225631941361004,-0.38886157908887825,-0.2444526449260917,1.7901140185458897,-0.3471575089390779,-0.2938613491804275,-0.24919425551565288,-0.19575640329480506,-0.2149923871840122,-0.20659494166240935,-0.19969549602875405,-0.21950978787684539,2.104131406146684,2.074868233521106,1.8899488551114618,-0.20600861176513674,-0.20553327802997204,-0.20764692465332985,-0.2855704004188244,-0.17077695932670814,-0.43662555660477204,-0.2669828033028749,-0.2270089525400925,-0.25096850501012746,-0.17497504791999413,-0.24609998606220557,1.6071327513222469,-0.26999446712920233,-0.21991673643285312,-0.2005345260979216
c_1_12_29,-0.22225631941361004,-0.38886157908887825,-0.2444526449260917,-0.2891791049819793,-0.3471575089390779,-0.2938613491804275,-0.24919425551565288,-0.19575640329480506,-0.2149923871840122,-0.20659494166240935,-0.19969549602875405,2.549373981922743,-0.2475658321942903,-0.3315646059401491,1.9762066381603869,-0.20600861176513674,-0.20553327802997204,-0.20764692465332985,-0.2855704004188244,3.2824852976577716,-0.43662555660477204,-0.2669828033028749,-0.2270089525400925,-0.25096850501012746,-0.17497504791999413,-0.24609998606220557,-0.32971716265730716,-0.26999446712920233,-0.21991673643285312,-0.2005345260979216
c_1_12_30,-0.22225631941361004,1.548379737388137,-0.2444526449260917,-0.2891791049819793,-0.3471575089390779,-0.2938613491804275,2.510462674476996,3.0563587462738395,-0.2149923871840122,-0.20659494166240935,-0.19969549602875405,-0.21950978787684539,-0.2475658321942903,-0.3315646059401491,-0.22589637196088774,-0.20600861176513674,-0.20553327802997204,-0.20764692465332985,-0.2855704004188244,-0.17077695932670814,2.667166643719425,-0.2669828033028749,-0.2270089525400925,-0.25096850501012746,3.048142241363681,-0.24609998606220557,-0.32971716265730716,-0.26999446712920233,-0.21991673643285312,-0.2005345260979216
c_1_12_31,-0.22225631941361004,-0.38886157908887825,-0.2444526449260917,-0.2891791049819793,-0.3471575089390779,-0.2938613491804275,-0.24919425551565288,-0.19575640329480506,-0.2149923871840122,2.787977592038908,2.3991067968606483,-0.21950978787684539,-0.2475658321942903,-0.3315646059401491,-0.22589637196088774,-0.20600861176513674,2.475740087155471,-0.20764692465332985,-0.2855704004188244,-0.17077695932670814,-0.43662555660477204,-0.2669828033028749,-0.2270089525400925,-0.25096850501012746,-0.17497504791999413,-0.24609998606220557,-0.32971716265730716,-0.26999446712920233,-0.21991673643285312,2.5504059892716344
