cell_id,ADGRE2,AXL,BECN1,CAMP,CD37,CD48,CD80,CTSW,FES,FPR1,HBB,HTT,ICOS,IGHM,IL10,ITGA2,LDLR,MXRA8,MYC,NLRP1,NLRP2,NOTCH1,OASL,SMAD2,TBX21,TGFB1,TNFRSF4,TNFSF13B,XBP1,YBX3
c_1_1_13,-0.2601975503564053,-0.2888522706935593,-0.26443983173673996,-0.3030654897117067,-0.3001170515044727,-0.31105434378096725,-0.2652766019543286,-0.27751791147916943,-0.32424311924042204,-0.33837352918407143,-0.30256857105553947,-0.2469649957800688,-0.29406958031947467,-0.40288745853050606,-0.2793279614148417,-0.256473966361109,-0.3628836385189028,-0.3178605110953231,-0.29745962476890464,11.906865442732899,-0.2577510727837034,-0.3124836718265801,-0.28876899325859023,-0.2915541897247681,-0.27598810670276375,-0.2769938870631888,-0.2791302121063106,-0.27609821219549874,-0.32022198253231876,-0.3831987054362684
c_1_1_14,-0.2601975503564053,-0.2888522706935593,-0.26443983173673996,-0.3030654897117067,-0.3001170515044727,-0.31105434378096725,-0.2652766019543286,-0.27751791147916943,-0.32424311924042204,-0.33837352918407143,-0.30256857105553947,-0.2469649957800688,-0.29406958031947467,-0.40288745853050606,-0.2793279614148417,-0.256473966361109,-0.3628836385189028,-0.3178605110953231,-0.29745962476890464,-0.2503227448721986,-0.2577510727837034,-0.3124836718265801,-0.28876899325859023,-0.2915541897247681,-0.27598810670276375,-0.2769938870631888,-0.2791302121063106,-0.27609821219549874,-0.32022198253231876,-0.3831987054362684
c_1_1_15,-0.2601975503564053,-0.2888522706935593,-0.26443983173673996,-0.3030654897117067,-0.3001170515044727,-0.31105434378096725,-0.2652766019543286,5.686110521497428,-0.32424311924042204,-0.33837352918407143,-0.30256857105553947,-0.2469649957800688,-0.29406958031947467,-0.40288745853050606,-0.2793279614148417,-0.256473966361109,-0.3628836385189028,-0.3178605110953231,-0.29745962476890464,-0.2503227448721986,-0.2577510727837034,-0.3124836718265801,-0.28876899325859023,-0.2915541897247681,-0.27598810670276375,-0.2769938870631888,-0.2791302121063106,-0.27609821219549874,-0.32022198253231876,-0.3831987054362684
c_1_1_16,1.3560448889568884,-0.2888522706935593,-0.26443983173673996,1.0657305551253724,-0.3001170515044727,-0.31105434378096725,-0.2652766019543286,-0.27751791147916943,-0.32424311924042204,-0.33837352918407143,-0.30256857105553947,-0.2469649957800688,-0.29406958031947467,0.46863696072378086,-0.2793279614148417,-0.256473966361109,-0.3628836385189028,-0.3178605110953231,-0.29745962476890464,-0.2503227448721986,-0.2577510727837034,-0.3124836718265801,2.0533456535095738,-0.2915541897247681,-0.27598810670276375,-0.2769938870631888,-0.2791302121063106,-0.27609821219549874,1.7731637970677694,-0.3831987054362684
c_1_1_17,-0.2601975503564053,-0.2888522706935593,-0.26443983173673996,-0.3030654897117067,-0.3001170515044727,-0.31105434378096725,-0.2652766019543286,-0.27751791147916943,-0.32424311924042204,-0.33837352918407143,-0.30256857105553947,-0.2469649957800688,-0.29406958031947467,-0.40288745853050606,-0.2793279614148417,-0.256473966361109,6.833261779110152,-0.3178605110953231,-0.29745962476890464,-0.2503227448721986,-0.2577510727837034,-0.3124836718265801,-0.28876899325859023,-0.2915541897247681,-0.27598810670276375,-0.2769938870631888,-0.2791302121063106,-0.27609821219549874,-0.32022198253231876,-0.3831987054362684
c_1_1_18,-0.2601975503564053,-0.2888522706935593,-0.26443983173673996,-0.3030654897117067,-0.3001170515044727,-0.31105434378096725,-0.2652766019543286,-0.27751791147916943,-0.32424311924042204,-0.33837352918407143,-0.30256857105553947,-0.2469649957800688,3.2969389554307345,-0.40288745853050606,-0.2793279614148417,-0.256473966361109,1.8411092403060565,-0.3178605110953231,2.1953763326625038,-0.2503227448721986,-0.2577510727837034,-0.3124836718265801,-0.28876899325859023,-0.2915541897247681,-0.27598810670276375,-0.2769938870631888,-0.2791302121063106,-0.27609821219549874,-0.32022198253231876,-0.3831987054362684
c_1_1_19,-0.2601975503564053,-0.2888522706935593,-0.26443983173673996,-0.3030654897117067,-0.3001170515044727,-0.31105434378096725,-0.2652766019543286,-0.27751791147916943,-0.32424311924042204,-0.33837352918407143,-0.30256857105553947,-0.2469649957800688,-0.29406958031947467,-0.40288745853050606,-0.2793279614148417,-0.256473966361109,-0.3628836385189028,-0.3178605110953231,-0.29745962476890464,-0.2503227448721986,-0.2577510727837034,-0.3124836718265801,-0.28876899325859023,-0.2915541897247681,-0.27598810670276375,-0.2769938870631888,-0.2791302121063106,-0.27609821219549874,-0.32022198253231876,-0.3831987054362684
c_1_1_20,-0.2601975503564053,-0.2888522706935593,-0.26443983173673996,-0.3030654897117067,-0.3001170515044727,-0.31105434378096725,-0.2652766019543286,-0.27751791147916943,-0.32424311924042204,-0.33837352918407143,-0.30256857105553947,8.765432387680121,-0.29406958031947467,-0.40288745853050606,-0.2793279614148417,-0.256473966361109,-0.3628836385189028,-0.3178605110953231,-0.29745962476890464,-0.2503227448721986,-0.2577510727837034,-0.3124836718265801,-0.28876899325859023,-0.2915541897247681,-0.27598810670276375,-0.2769938870631888,-0.2791302121063106,-0.27609821219549874,-0.32022198253231876,-0.3831987054362684
c_1_1_21,-0.2601975503564053,5.220403327600805,-0.26443983173673996,-0.3030654897117067,-0.3001170515044727,-0.31105434378096725,-0.2652766019543286,-0.27751791147916943,-0.32424311924042204,-0.33837352918407143,-0.30256857105553947,-0.2469649957800688,-0.29406958031947467,-0.40288745853050606,-0.2793279614148417,-0.256473966361109,-0.3628836385189028,-0.3178605110953231,-0.29745962476890464,-0.2503227448721986,-0.2577510727837034,-0.3124836718265801,-0.28876899325859023,-0.2915541897247681,-0.27598810670276375,-0.2769938870631888,-0.2791302121063106,-0.27609821219549874,-0.32022198253231876,-0.3831987054362684
c_1_1_23,-0.2601975503564053,-0.2888522706935593,3.4050839220131874,-0.3030654897117067,-0.3001170515044727,-0.31105434378096725,-0.2652766019543286,-0.27751791147916943,2.575153194785833,1.5717783119115243,-0.30256857105553947,-0.2469649957800688,-0.29406958031947467,-0.40288745853050606,-0.2793279614148417,-0.256473966361109,-0.3628836385189028,-0.3178605110953231,-0.29745962476890464,-0.2503227448721986,2.2816253275792957,-0.3124836718265801,-0.28876899325859023,-0.2915541897247681,-0.27598810670276375,-0.2769938870631888,-0.2791302121063106,-0.27609821219549874,-0.32022198253231876,-0.3831987054362684
