cell_id,ACVR2A,ADGRA2,BRAF,CCL26,CHI3L1,CSF2,CSTB,ELANE,EPHB2,EZH2,FFAR3,HBA1/2,HDAC11,ICAM1,ICOSLG,IER3,KRT17,LGALS9,MT1X,MZB1,NPPC,NR1H2,PDGFB,PPARA,RARRES1,RGS2,SIGIRR,SRC,TNFSF13B,TNNC1
c_1_26_24,5.391016942068006,-0.2793323732340796,-0.20133401232800183,-0.1826590370404299,-0.20729699119371178,-0.2156320605566598,-0.3812431343657208,-0.25346324558751965,-0.2640387343150798,-0.22954520831492836,-0.264069466032337,-0.3337677330346674,-0.2261094472163126,-0.23869461628432903,-0.28259459323027597,-0.35379320994031027,-0.27109837811078996,-0.40859058240604723,-0.26159759817691747,3.5080911441461606,-0.25831642514882186,-0.32046969431702343,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,-0.33182863945662466,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
c_1_26_25,-0.2061845434496249,1.1634868974628432,-0.20133401232800183,-0.1826590370404299,-0.20729699119371178,1.7146471567503843,0.8756921009923562,-0.25346324558751965,-0.2640387343150798,-0.22954520831492836,-0.264069466032337,0.9822221144971495,-0.2261094472163126,-0.23869461628432903,-0.28259459323027597,-0.35379320994031027,-0.27109837811078996,-0.40859058240604723,1.3625053509985252,-0.33989403210168356,-0.25831642514882186,-0.32046969431702343,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,1.0565615092855682,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
c_1_26_26,-0.2061845434496249,-0.2793323732340796,-0.20133401232800183,-0.1826590370404299,-0.20729699119371178,-0.2156320605566598,-0.3812431343657208,-0.25346324558751965,-0.2640387343150798,-0.22954520831492836,-0.264069466032337,-0.3337677330346674,-0.2261094472163126,-0.23869461628432903,-0.28259459323027597,-0.35379320994031027,-0.27109837811078996,-0.40859058240604723,-0.26159759817691747,-0.33989403210168356,-0.25831642514882186,-0.32046969431702343,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,-0.33182863945662466,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
c_1_26_27,-0.2061845434496249,-0.2793323732340796,3.770925612469929,-0.1826590370404299,-0.20729699119371178,-0.2156320605566598,-0.3812431343657208,-0.25346324558751965,-0.2640387343150798,-0.22954520831492836,2.8612491241609197,-0.3337677330346674,-0.2261094472163126,-0.23869461628432903,-0.28259459323027597,-0.35379320994031027,-0.27109837811078996,-0.40859058240604723,-0.26159759817691747,2.8070206302837315,-0.25831642514882186,-0.32046969431702343,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,-0.33182863945662466,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
c_1_26_28,-0.2061845434496249,0.9963863687074678,1.6519467256798794,-0.1826590370404299,1.5720472893335928,-0.2156320605566598,-0.3812431343657208,-0.25346324558751965,-0.2640387343150798,-0.22954520831492836,1.1940660262160467,-0.3337677330346674,-0.2261094472163126,-0.23869461628432903,-0.28259459323027597,-0.35379320994031027,-0.27109837811078996,-0.40859058240604723,-0.26159759817691747,1.3372000167811129,-0.25831642514882186,-0.32046969431702343,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,-0.33182863945662466,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
c_1_26_29,-0.2061845434496249,-0.2793323732340796,3.3530321076313587,-0.1826590370404299,-0.20729699119371178,-0.2156320605566598,-0.3812431343657208,-0.25346324558751965,2.6336332245486216,-0.22954520831492836,-0.264069466032337,-0.3337677330346674,-0.2261094472163126,-0.23869461628432903,-0.28259459323027597,-0.35379320994031027,-0.27109837811078996,-0.40859058240604723,-0.26159759817691747,-0.33989403210168356,-0.25831642514882186,2.02652977078092,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,-0.33182863945662466,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
c_1_26_30,-0.2061845434496249,-0.2793323732340796,-0.20133401232800183,-0.1826590370404299,-0.20729699119371178,-0.2156320605566598,-0.3812431343657208,-0.25346324558751965,-0.2640387343150798,-0.22954520831492836,-0.264069466032337,-0.3337677330346674,-0.2261094472163126,-0.23869461628432903,-0.28259459323027597,-0.35379320994031027,-0.27109837811078996,-0.40859058240604723,-0.26159759817691747,-0.33989403210168356,-0.25831642514882186,-0.32046969431702343,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,-0.33182863945662466,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
c_1_26_31,-0.2061845434496249,-0.2793323732340796,-0.20133401232800183,-0.1826590370404299,-0.20729699119371178,-0.2156320605566598,-0.3812431343657208,-0.25346324558751965,-0.2640387343150798,-0.22954520831492836,-0.264069466032337,-0.3337677330346674,-0.2261094472163126,-0.23869461628432903,-0.28259459323027597,-0.35379320994031027,-0.27109837811078996,-0.40859058240604723,-0.26159759817691747,1.8701348636545314,-0.25831642514882186,-0.32046969431702343,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,-0.33182863945662466,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
c_1_26_32,-0.2061845434496249,-0.2793323732340796,-0.20133401232800183,3.1899023008861236,-0.20729699119371178,-0.2156320605566598,-0.3812431343657208,-0.25346324558751965,-0.2640387343150798,2.4835655819354487,-0.264069466032337,1.6015590374408182,-0.2261094472163126,-0.23869461628432903,-0.28259459323027597,-0.35379320994031027,-0.27109837811078996,-0.40859058240604723,-0.26159759817691747,1.377498182668284,-0.25831642514882186,-0.32046969431702343,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,-0.33182863945662466,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
c_1_26_33,-0.2061845434496249,1.0632686668215658,-0.20133401232800183,-0.1826590370404299,-0.20729699119371178,-0.2156320605566598,-0.3812431343657208,2.302286946631103,-0.2640387343150798,-0.22954520831492836,-0.264069466032337,0.8908134559492096,-0.2261094472163126,-0.23869461628432903,-0.28259459323027597,-0.35379320994031027,-0.27109837811078996,0.7159556559464012,1.2496951555351505,-0.33989403210168356,-0.25831642514882186,-0.32046969431702343,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,-0.33182863945662466,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
c_1_26_34,-0.2061845434496249,-0.2793323732340796,-0.20133401232800183,-0.1826590370404299,-0.20729699119371178,-0.2156320605566598,-0.3812431343657208,-0.25346324558751965,-0.2640387343150798,-0.22954520831492836,-0.264069466032337,-0.3337677330346674,-0.2261094472163126,3.960088027040203,3.209194697426228,-0.35379320994031027,-0.27109837811078996,-0.40859058240604723,-0.26159759817691747,-0.33989403210168356,-0.25831642514882186,-0.32046969431702343,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,-0.33182863945662466,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
c_1_26_35,-0.2061845434496249,-0.2793323732340796,-0.20133401232800183,-0.1826590370404299,-0.20729699119371178,-0.2156320605566598,-0.3812431343657208,3.541634818573694,-0.2640387343150798,-0.22954520831492836,-0.264069466032337,-0.3337677330346674,-0.2261094472163126,-0.23869461628432903,-0.28259459323027597,-0.35379320994031027,-0.27109837811078996,-0.40859058240604723,-0.26159759817691747,-0.33989403210168356,-0.25831642514882186,-0.32046969431702343,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,-0.33182863945662466,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
c_1_26_36,-0.2061845434496249,-0.2793323732340796,-0.20133401232800183,-0.1826590370404299,-0.20729699119371178,-0.2156320605566598,-0.3812431343657208,-0.25346324558751965,-0.2640387343150798,-0.22954520831492836,-0.264069466032337,-0.3337677330346674,-0.2261094472163126,-0.23869461628432903,3.6898852439084413,-0.35379320994031027,-0.27109837811078996,-0.40859058240604723,-0.26159759817691747,1.3598367024568823,-0.25831642514882186,-0.32046969431702343,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,-0.33182863945662466,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
c_1_26_37,-0.2061845434496249,1.9311861767459584,-0.20133401232800183,-0.1826590370404299,-0.20729699119371178,-0.2156320605566598,-0.3812431343657208,-0.25346324558751965,-0.2640387343150798,-0.22954520831492836,-0.264069466032337,1.6824376425348893,-0.2261094472163126,-0.23869461628432903,-0.28259459323027597,1.6326033603888657,-0.27109837811078996,-0.40859058240604723,-0.26159759817691747,2.286345225802563,2.2519299290109687,-0.32046969431702343,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,-0.33182863945662466,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
c_1_26_38,-0.2061845434496249,1.3903142621250393,-0.20133401232800183,-0.1826590370404299,-0.20729699119371178,-0.2156320605566598,1.8602150529968626,-0.25346324558751965,-0.2640387343150798,-0.22954520831492836,-0.264069466032337,-0.3337677330346674,-0.2261094472163126,-0.23869461628432903,-0.28259459323027597,-0.35379320994031027,-0.27109837811078996,-0.40859058240604723,-0.26159759817691747,-0.33989403210168356,1.6377203121059902,-0.32046969431702343,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,-0.33182863945662466,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
c_1_26_39,-0.2061845434496249,-0.2793323732340796,-0.20133401232800183,-0.1826590370404299,-0.20729699119371178,-0.2156320605566598,-0.3812431343657208,-0.25346324558751965,-0.2640387343150798,3.292346765146084,2.884151065511367,-0.3337677330346674,3.3645172269352885,-0.23869461628432903,3.8215208713954474,3.12643581900741,-0.27109837811078996,-0.40859058240604723,-0.26159759817691747,-0.33989403210168356,2.869522520685698,-0.32046969431702343,-0.21710744379453276,-0.21714084171494238,-0.24821643698276222,-0.34508024812965976,-0.33182863945662466,-0.2643760722277682,-0.21342060708378846,-0.22959891284602368
