cell_id,ATM,BBLN,BMPR1A,CALB1,CD68,CSF2,CXCR4,EIF5A/L1,EMP3,FLT1,ICAM2,IFNL2/3,IGF2R,ISG15,KRT18,LGALS3,MT1X,NLRP3,NPR1,NRXN3,PDGFA,PGF,POU5F1,RBPJ,RXRA,SST,TLR5,TNFRSF10D,TPI1,VCAN
c_1_40_27,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,3.7202469032083862,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,2.1894343104286507,2.5587271147574935,3.64180739817005,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,5.00045043921651,-0.374573893089805,4.053482299458473,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_29,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,5.402617374108725,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,3.213750752584905,4.822927686957802,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_30,-0.24003213575056,1.0540501537306233,0.7103560891866455,-0.2426612767530786,0.6650663677235947,1.990466430618916,1.1639248575266854,0.7098018430971903,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,0.9875291085062184,0.8397564665577115,1.564032410591009,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,1.1687607985333168,1.5379100194833395,0.3331001726555514,-0.31717343401540027,1.1800751476252274,1.734166127248419,0.8842039281341288,-0.2537323840176345,-0.187978700906086,1.1662241645401787,-0.23195574667604174,-0.3488368327333222,1.1795022585424697
c_1_40_32,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,4.312134279849525,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_33,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,2.0922893891124916,-0.25522238023939475,-0.2674100236109592,2.2306890896462237,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_35,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,1.759118032948877,1.6070111505961673,-0.25522238023939475,-0.2674100236109592,1.7155987174563399,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,1.7703330635609276,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,2.8117218148159373,2.255432004442928,3.063861305218635,-0.3488368327333222,-0.1995194796965566
c_1_40_36,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,6.822942551726996,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,5.397801827078687,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_37,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,12.90443752373196,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_39,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_40,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_41,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,2.917597393696603,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_43,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_45,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,5.02112603039968,-0.22956474156425624,2.3948050769176588,-0.40061491313391323,3.940551101532954,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,4.3039769766859575,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_47,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_48,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,1.9086619698409713,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_49,-0.24003213575056,3.6970944686194356,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,3.1844238593074006,-0.18301898824438864,-0.22465702051359632,1.8806551832389489,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_50,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_51,-0.24003213575056,-0.2669071192825961,-0.31928995135028854,-0.2426612767530786,-0.31381307470315917,-0.1991813087893286,5.576420510075619,-0.507610868676006,-0.40061491313391323,-0.2814640523745829,-0.25522238023939475,-0.2674100236109592,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,-0.374573893089805,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
c_1_40_52,-0.24003213575056,-0.2669071192825961,1.3119582760646011,1.4589625962742387,-0.31381307470315917,-0.1991813087893286,-0.22956474156425624,-0.507610868676006,0.870090037481939,-0.2814640523745829,-0.25522238023939475,1.7207656738473696,-0.2888913213790772,-0.30392580247989487,-0.39896113048685455,-0.21698843645646365,-0.2800812441836619,-0.18301898824438864,-0.22465702051359632,-0.4403465815674049,-0.31717343401540027,-0.24033533423109002,1.1763428288382716,-0.2941295796911073,-0.2537323840176345,-0.187978700906086,-0.23737564792414478,-0.23195574667604174,-0.3488368327333222,-0.1995194796965566
