cell_id,ADGRF1,APP,ATR,AXL,BAG3,BTK,CD8A,CDH19,CSPG4,CXCL10,CXCL8,EPHA2,FCGBP,FGF9,GC,GSK3B,IFI27,ITGA6,KRT1,KRT6A/B/C,LAMP2,MRC2,NDRG1,PDGFRA,PPARG,PTGES3,SRC,TNFSF12,YES1,ZBTB16
c_1_13_21,-0.16641379601982373,-0.22418263723577628,-0.17538593091018187,-0.14714347850705234,-0.16254825132282313,-0.15715780447904246,-0.17496545535270833,-0.19672237241193344,-0.14196762039656297,-0.1435697570253049,-0.15009467372068125,-0.19835862415138866,-0.23357518151130782,-0.14555412939251622,-0.14303184748452427,-0.14755748556561063,-0.1991290111637927,-0.2155186325595498,-0.19882605290904293,-0.14924594681588735,-0.17743025978392038,-0.18273529118026485,-0.2358413434877378,-0.17464950524747766,-0.21182035162734977,-0.2334438958048463,-0.17914464315486492,-0.1671693921561945,-0.18165176964521015,-0.24419531083199433
c_1_13_22,-0.16641379601982373,-0.22418263723577628,-0.17538593091018187,-0.14714347850705234,-0.16254825132282313,-0.15715780447904246,-0.17496545535270833,-0.19672237241193344,-0.14196762039656297,-0.1435697570253049,-0.15009467372068125,-0.19835862415138866,-0.23357518151130782,-0.14555412939251622,6.337327716015863,-0.14755748556561063,-0.1991290111637927,-0.2155186325595498,-0.19882605290904293,-0.14924594681588735,-0.17743025978392038,-0.18273529118026485,-0.2358413434877378,-0.17464950524747766,-0.21182035162734977,-0.2334438958048463,-0.17914464315486492,-0.1671693921561945,-0.18165176964521015,-0.24419531083199433
c_1_13_23,-0.16641379601982373,3.4861282212089946,-0.17538593091018187,-0.14714347850705234,-0.16254825132282313,-0.15715780447904246,-0.17496545535270833,-0.19672237241193344,-0.14196762039656297,-0.1435697570253049,-0.15009467372068125,-0.19835862415138866,-0.23357518151130782,-0.14555412939251622,-0.14303184748452427,-0.14755748556561063,-0.1991290111637927,3.6499574914956923,-0.19882605290904293,-0.14924594681588735,-0.17743025978392038,-0.18273529118026485,-0.2358413434877378,-0.17464950524747766,-0.21182035162734977,-0.2334438958048463,-0.17914464315486492,-0.1671693921561945,-0.18165176964521015,-0.24419531083199433
c_1_13_24,-0.16641379601982373,-0.22418263723577628,-0.17538593091018187,-0.14714347850705234,-0.16254825132282313,-0.15715780447904246,-0.17496545535270833,-0.19672237241193344,-0.14196762039656297,-0.1435697570253049,-0.15009467372068125,-0.19835862415138866,-0.23357518151130782,-0.14555412939251622,-0.14303184748452427,-0.14755748556561063,-0.1991290111637927,-0.2155186325595498,-0.19882605290904293,-0.14924594681588735,-0.17743025978392038,-0.18273529118026485,-0.2358413434877378,-0.17464950524747766,-0.21182035162734977,-0.2334438958048463,-0.17914464315486492,-0.1671693921561945,-0.18165176964521015,-0.24419531083199433
c_1_13_25,-0.16641379601982373,-0.22418263723577628,-0.17538593091018187,-0.14714347850705234,-0.16254825132282313,-0.15715780447904246,-0.17496545535270833,-0.19672237241193344,-0.14196762039656297,-0.1435697570253049,-0.15009467372068125,-0.19835862415138866,-0.23357518151130782,-0.14555412939251622,-0.14303184748452427,-0.14755748556561063,-0.1991290111637927,-0.2155186325595498,-0.19882605290904293,-0.14924594681588735,-0.17743025978392038,5.358278705086639,-0.2358413434877378,-0.17464950524747766,-0.21182035162734977,-0.2334438958048463,-0.17914464315486492,-0.1671693921561945,-0.18165176964521015,-0.24419531083199433
c_1_13_26,-0.16641379601982373,-0.22418263723577628,-0.17538593091018187,-0.14714347850705234,-0.16254825132282313,-0.15715780447904246,-0.17496545535270833,-0.19672237241193344,-0.14196762039656297,-0.1435697570253049,-0.15009467372068125,-0.19835862415138866,-0.23357518151130782,-0.14555412939251622,-0.14303184748452427,-0.14755748556561063,-0.1991290111637927,-0.2155186325595498,-0.19882605290904293,-0.14924594681588735,-0.17743025978392038,-0.18273529118026485,-0.2358413434877378,-0.17464950524747766,-0.21182035162734977,-0.2334438958048463,-0.17914464315486492,-0.1671693921561945,-0.18165176964521015,-0.24419531083199433
c_1_13_27,3.918917428082276,-0.22418263723577628,-0.17538593091018187,-0.14714347850705234,-0.16254825132282313,4.527978544423253,-0.17496545535270833,-0.19672237241193344,-0.14196762039656297,-0.1435697570253049,-0.15009467372068125,-0.19835862415138866,2.8127342983457315,-0.14555412939251622,-0.14303184748452427,-0.14755748556561063,-0.1991290111637927,-0.2155186325595498,-0.19882605290904293,-0.14924594681588735,-0.17743025978392038,-0.18273529118026485,-0.2358413434877378,-0.17464950524747766,3.3313550435613752,-0.2334438958048463,-0.17914464315486492,-0.1671693921561945,-0.18165176964521015,-0.24419531083199433
c_1_13_28,-0.16641379601982373,3.5045632671178155,-0.17538593091018187,-0.14714347850705234,-0.16254825132282313,-0.15715780447904246,-0.17496545535270833,-0.19672237241193344,-0.14196762039656297,-0.1435697570253049,-0.15009467372068125,-0.19835862415138866,-0.23357518151130782,-0.14555412939251622,-0.14303184748452427,-0.14755748556561063,-0.1991290111637927,-0.2155186325595498,-0.19882605290904293,-0.14924594681588735,-0.17743025978392038,-0.18273529118026485,-0.2358413434877378,-0.17464950524747766,-0.21182035162734977,3.1489212981478025,-0.17914464315486492,-0.1671693921561945,-0.18165176964521015,-0.24419531083199433
c_1_13_29,-0.16641379601982373,-0.22418263723577628,-0.17538593091018187,7.617948328755777,-0.16254825132282313,-0.15715780447904246,-0.17496545535270833,-0.19672237241193344,-0.14196762039656297,-0.1435697570253049,-0.15009467372068125,5.958097235735086,-0.23357518151130782,-0.14555412939251622,-0.14303184748452427,-0.14755748556561063,-0.1991290111637927,-0.2155186325595498,-0.19882605290904293,-0.14924594681588735,-0.17743025978392038,-0.18273529118026485,-0.2358413434877378,-0.17464950524747766,-0.21182035162734977,-0.2334438958048463,-0.17914464315486492,-0.1671693921561945,-0.18165176964521015,-0.24419531083199433
c_1_13_30,-0.16641379601982373,-0.22418263723577628,-0.17538593091018187,-0.14714347850705234,-0.16254825132282313,-0.15715780447904246,-0.17496545535270833,-0.19672237241193344,-0.14196762039656297,-0.1435697570253049,-0.15009467372068125,-0.19835862415138866,-0.23357518151130782,-0.14555412939251622,-0.14303184748452427,-0.14755748556561063,-0.1991290111637927,-0.2155186325595498,-0.19882605290904293,-0.14924594681588735,-0.17743025978392038,-0.18273529118026485,-0.2358413434877378,-0.17464950524747766,-0.21182035162734977,-0.2334438958048463,-0.17914464315486492,-0.1671693921561945,-0.18165176964521015,-0.24419531083199433
