cell_id,leiden_cluster
abagkpmp-1,6
abahijfa-1,0
abaibljd-1,1
abaikano-1,8
abaipgmm-1,6
abalenlm-1,0
abammecg-1,0
abanalfp-1,6
abanmbjh-1,1
abaolhak-1,6
abaphdpc-1,0
abapljdg-1,0
abbaolgl-1,6
abbbeilm-1,0
abbcbjhj-1,6
abbckpgc-1,2
abbdgdii-1,6
abbdoeik-1,6
abbdonkl-1,0
abbefdpb-1,6
abbfgpnf-1,1
abbggadb-1,0
abbgmkgl-1,4
abbhaepl-1,0
abbiljae-1,6
abbjhcln-1,6
abbjoceo-1,0
abbkfabp-1,0
abblejka-1,1
abbliodo-1,0
abblipdb-1,6
abblmaem-1,6
abbncmpb-1,6
abbndaaf-1,4
abbndigg-1,6
abbnkbff-1,0
abbohcgm-1,0
abcaddao-1,1
abcakhjo-1,7
abcbcfag-1,1
abccbpml-1,0
abcdghnc-1,1
abcdkbie-1,6
abcebhjo-1,6
abcfolal-1,6
abchbfkb-1,0
abcheedp-1,0
abcieomn-1,6
abcilbpg-1,5
abcjokkh-1,2
abckjjhe-1,1
abcmcgdl-1,6
abcmklhp-1,0
abcnbekm-1,2
abcnccpl-1,6
abcnhbcl-1,2
abcocbig-1,6
abcockfj-1,0
abcofboo-1,0
abcojnad-1,0
abcpemjh-1,4
abdafjbe-1,3
abdaiaan-1,1
abdakndi-1,0
abdbncfo-1,2
abdcabaf-1,6
abdclekl-1,0
abddocbg-1,0
abdeckjh-1,1
abdedomo-1,0
abdelkef-1,1
abdgeana-1,0
abdiejld-1,0
abdlikaj-1,0
abdmkcmn-1,0
abdncedg-1,0
abdnkejp-1,6
abdpkimd-1,6
abdpnhob-1,0
abdppgfh-1,6
abebhhef-1,6
abecaoac-1,2
abecblam-1,0
abedcdjj-1,1
abedmdnm-1,0
abedohpc-1,1
abeenkoh-1,0
abeflacf-1,2
abeflbhi-1,6
abegjnco-1,2
abeibfgf-1,0
abeioace-1,1
abeklbea-1,0
abeklhpj-1,0
abemhlhi-1,1
abemigli-1,2
abemjheb-1,0
abenlajd-1,0
abeokobg-1,1
abeomcbo-1,2
abeonfke-1,1
abepagfj-1,5
abeppdia-1,0
abfajahc-1,2
abfbhpbi-1,2
abfchdag-1,2
abfecbcc-1,0
abfegofc-1,0
abfejgkc-1,1
abfeoajb-1,2
abfgdpfp-1,2
abfjoaad-1,1
abfjpoko-1,0
abfmmlcn-1,5
abfobmmk-1,0
abfpgkcj-1,0
abfpimie-1,15
abgadjoe-1,1
abgafjka-1,0
abgahdkp-1,1
abgamhfk-1,2
abgbamnn-1,4
abgbmcag-1,0
abgccoal-1,0
abgcldbm-1,1
abgdbaba-1,6
abgenpnk-1,3
abgfcpph-1,0
abggdcnh-1,0
abgidmec-1,1
abgjmfbl-1,0
abgjnigi-1,0
abgkpklo-1,1
abgocdin-1,0
abgockej-1,0
abhajmbg-1,0
abhamddl-1,4
abhcfanh-1,4
abhfjglj-1,0
abhfnnbo-1,2
abhfoaao-1,0
abhgeppi-1,1
abhgfklc-1,0
abhgmjhi-1,0
abhickpk-1,1
abhjdjgo-1,4
abhjjjhi-1,1
abhjmoao-1,0
abhllfaa-1,2
abhmdacm-1,0
abhmjajn-1,1
abhmmoao-1,2
abhnjlff-1,0
abhnmdcc-1,1
abhooeha-1,1
abidcpgd-1,1
abiehpin-1,2
abieimje-1,0
abiepfnf-1,5
abigajip-1,1
abigddng-1,0
abihdnol-1,0
abihncdn-1,1
abiiidjc-1,5
abijdmdb-1,0
abijgmko-1,0
abikkebf-1,0
abikniod-1,1
abilemfb-1,1
abiloood-1,4
abimehci-1,1
abinfipj-1,0
abioddne-1,0
abipafkm-1,4
abjakgan-1,3
abjbggna-1,2
abjclomj-1,2
abjddnpo-1,1
abjeecad-1,0
abjfikoc-1,0
abjfkekc-1,0
abjfpnbe-1,0
abjgfnel-1,2
abjgicoi-1,0
abjhkhop-1,0
abjipjfn-1,1
abjkgpjb-1,1
abjmkhcm-1,2
abjndgbe-1,5
abjodfab-1,1
abjpidcj-1,1
abkaedla-1,1
abkafpfd-1,2
abkbmndf-1,2
abkbpbbd-1,16
abkcgkeh-1,0
abkclhic-1,0
abkdndfc-1,0
abkekmgb-1,0
abkeoale-1,1
abkfcfgf-1,2
abkggpck-1,1
abkghopj-1,6
abkglnog-1,0
abkglolp-1,0
abkhlccj-1,0
abkidikm-1,0
abkiegbj-1,0
abkjadod-1,0
abkkcbgl-1,1
abklfdjd-1,2
abklognb-1,2
abkmobhc-1,0
abknclii-1,1
abknpoge-1,0
abkopndj-1,0
ablahpji-1,0
ablbifig-1,0
ablchjok-1,0
ablcnjmf-1,0
abldodhi-1,0
ableemgf-1,0
ableipgo-1,2
ablekcck-1,1
ablfmgbg-1,5
ablgadhj-1,0
ablgckaa-1,4
abliacgl-1,1
ablioiil-1,0
abljfofd-1,8
ablkbbja-1,4
ablkhhke-1,7
ablkicgc-1,4
abllbapl-1,0
ablllonj-1,0
abllomek-1,0
ablmkggi-1,0
ablmnihn-1,1
ablnhbcd-1,0
ablnpmdh-1,1
ablofemg-1,1
ablogifk-1,2
ablpdnkg-1,0
ablpidim-1,5
abmafahi-1,0
abmagdcj-1,0
abmampgk-1,2
abmcdnnn-1,2
abmdffpl-1,0
abmehipm-1,5
abmepljb-1,0
abmeplpo-1,2
abmepofe-1,5
abmfafcd-1,2
abmfndng-1,0
abmgifmd-1,1
abmiaeag-1,2
abmjbelf-1,0
abmjiebo-1,1
abmjnjfl-1,2
abmkblim-1,2
abmkmeoa-1,2
abmnfjbi-1,5
abmnioak-1,1
abmodpoh-1,0
abmompok-1,1
abmpmpge-1,2
abnaagak-1,0
abnbbpld-1,5
abncicjb-1,2
abncmpca-1,0
abndhejl-1,1
abnegnlb-1,2
abnenhjo-1,0
abnfdlcl-1,1
abngdpbb-1,0
abnhagih-1,3
abnidjjb-1,0
abniegbd-1,2
abnigagg-1,2
abnjcfhk-1,3
abnlhcbm-1,2
abnlmaee-1,5
abnlmgbe-1,1
abnmfbkg-1,0
abnmjppj-1,1
abnnagck-1,5
abnnjhgo-1,5
abnofmmm-1,2
abnpnibp-1,2
aboaccpo-1,1
aboafgbe-1,1
aboamhjg-1,5
abobacjf-1,2
abobldpj-1,1
abocfban-1,1
abockkhf-1,1
abocljno-1,5
abodbjmo-1,2
abodchdj-1,0
abodlfng-1,0
aboecedk-1,5
abofcdmj-1,2
abofphld-1,0
abofppnk-1,0
abogomnp-1,2
abohcjbc-1,5
abohenbk-1,2
abohhbfi-1,0
abohpaei-1,0
aboidfcf-1,2
abojnimf-1,0
abokkoom-1,2
abokoefe-1,2
abombhoi-1,0
abomedgg-1,5
abomfoij-1,5
abooadak-1,0
aboomghk-1,4
aboonpga-1,5
abopjefp-1,0
abpaadoo-1,0
abpbhhmc-1,0
abpccnjb-1,0
abpeikkb-1,1
abpfdlaf-1,0
abpfeebp-1,2
abpfidhm-1,2
abpgjlho-1,0
abphpblg-1,0
abpiakna-1,2
abpimpkg-1,1
abpjengp-1,0
abpjkcha-1,0
abpkfdcd-1,2
abplgenc-1,4
abplppgc-1,5
abppchok-1,0
abppfomk-1,0
abppjokc-1,0
acaagepk-1,0
acaalggg-1,0
acachjnh-1,0
acadmbmn-1,0
acaecnid-1,0
acafgidg-1,0
acafncgm-1,1
acafnpeo-1,0
acahcenb-1,0
acaijkmi-1,0
acaindmo-1,2
acajaoob-1,0
acajinmk-1,5
acajmpbm-1,5
acaldokd-1,5
acalgpel-1,0
acamieol-1,0
acamlccj-1,0
acanhhdk-1,2
acaochab-1,5
acaoegnm-1,4
acaommae-1,2
acapjoii-1,4
acbabkaf-1,1
acbahngi-1,2
acbbjael-1,2
acbchhme-1,0
acbcleam-1,1
acbeefpl-1,0
acbhapjj-1,1
acbjdghj-1,2
acbjllef-1,0
acbjpdjm-1,0
acbkghcg-1,4
acbkighd-1,5
acblabkc-1,1
acbmldcn-1,0
acbnfakm-1,0
acbnfcfc-1,2
acbnogmp-1,0
accbghem-1,0
accbjpoc-1,4
accblbhf-1,5
accceikc-1,0
accelokd-1,1
accflnch-1,0
accgajbk-1,0
accgbbcj-1,1
acchkohb-1,1
accibdko-1,0
accighgj-1,1
accijckh-1,0
accijflp-1,0
acckahhe-1,1
acckodde-1,1
acckojcc-1,0
accmjoee-1,1
accnljip-1,2
accoagoe-1,2
accolpab-1,5
accpchbk-1,0
accpebce-1,1
acdadfib-1,6
acdapokf-1,0
acdbhknn-1,1
acdccbok-1,2
acddcpbo-1,0
acdefmdb-1,1
acdeklbg-1,2
acdepgjd-1,0
acdfcoef-1,0
acdfndjn-1,0
acdgkmlp-1,0
acdgpnic-1,6
acdhgnbd-1,0
acdkcfjh-1,0
acdkmhhp-1,0
acdkpcam-1,0
acdlcnmp-1,5
acdljlla-1,2
acdlobgd-1,5
acdpfedm-1,2
acdpfklc-1,1
acdpflea-1,0
acdpjgbe-1,0
aceajhhb-1,0
aceamfjm-1,0
aceanmgg-1,2
acebiflm-1,1
acecdegf-1,0
acecebki-1,1
acecgjkd-1,1
acedegpg-1,2
acedgngh-1,2
aceecafg-1,1
aceemkeg-1,0
acefgilk-1,0
acefkcog-1,5
aceinjao-1,1
acejanco-1,0
acejello-1,0
