cell_id,4-1BB,B7-H3,CD123,CD14,CD163,CD27,CD31,CD38,CD39,CD40,CD68,CTLA4,FABP4,FOXP3,GITR,GZMB,ICOS,IL-18,IL-1b,IgD,Ki-67,LAG3,LAMP1,NF-kB p65,PD-L1,Tim-3,VISTA,Vimentin,iNOS,pan-RAS
c_1_32_439,-1.3465725,-1.4398229,-1.3045957,0.0910472,-1.2782832,0.5232599,-0.7301053,-0.6227278,-2.4302735,-1.0660111,-0.103581384,-1.7659638,-0.9742404,-0.13356838,-1.1212994,-0.8319491,-0.17164102,-1.4550219,-1.3004326,-2.4071739,-1.6305631,-0.7069311,-1.0902334,0.12175208,-1.5762584,-1.876822,0.45451066,-0.13920185,-0.26238003,0.014492295
c_1_32_440,-0.6509408,-0.70792305,-0.31569478,0.7333685,-0.79743415,0.67988575,-0.7334766,-0.38804486,0.0067867977,0.7994769,0.017327908,1.4123418,-0.86322415,0.6067894,-1.064356,-0.5172676,0.919817,-0.36396575,-1.0358634,-0.62925124,0.2050278,-0.789057,-0.3692792,0.259984,-0.7247308,-1.260569,1.0429995,-0.17514443,-0.3068377,0.238437
c_1_32_441,-1.0517092,-1.7154833,-0.3263622,0.21457496,-1.0903283,0.43813932,-1.939462,-0.41098088,-1.7345511,1.0879003,-0.5297189,-0.21718073,-0.7589909,-0.42513257,-1.595214,-0.12836324,0.13282278,-0.59755766,-0.9566585,-1.3949622,-1.403753,-0.82893234,-0.7080025,0.38189188,-0.6288696,-0.5585681,0.66868806,0.119144216,-1.4867659,-0.48780897
c_1_32_442,-0.9948371,-0.31927806,0.29849327,-0.69749993,0.33261648,-0.49168062,1.265354,0.026725138,0.28430176,-0.7573973,-0.431015,-1.4996291,0.06628829,1.1029134,-1.7843407,0.08574358,-1.1480982,-0.59943634,-0.6085304,1.0861614,1.8824952,-1.4762099,0.16812685,0.5031664,-0.8776648,-0.019741917,0.11894703,1.2014819,-0.5815801,0.45041457
c_1_32_443,-0.90986097,-0.72446173,-0.57273173,0.014703687,-0.10755395,0.1378422,1.6618965,-0.94027954,-1.4060802,0.24933553,-0.50861996,-0.61527133,0.13723648,-0.5611855,-0.8242584,-1.0881028,-0.13055807,-0.34340632,-1.0653871,-0.5725137,-1.7316577,-1.4359168,-0.24397407,-0.26639464,-0.60055923,0.21498127,0.34149006,0.18393491,-0.6016684,-0.34754512
c_1_32_444,0.78781134,-0.695615,0.053160194,0.5063148,-0.41408208,0.8329967,-0.29521632,-0.15055801,0.5467224,0.65292686,0.04192926,1.8098979,0.050805263,0.052597675,-0.7904265,-0.29086146,1.7010179,-0.18925709,-1.4280986,-0.32759535,-0.8065713,-1.0240239,0.38626614,0.18991719,-0.63457185,-1.0445235,0.4817262,-0.35582703,-0.72234327,-0.6768305
c_1_32_445,-0.44217318,-0.32932618,-1.1538504,-0.71282256,0.42311522,-1.4394212,-0.80218035,-1.705855,-1.2394196,-0.86792094,0.8713188,-0.37681955,-1.2043825,-0.012951801,-0.33917844,-0.31185493,-0.3717827,-0.9743844,0.21031688,0.46763793,0.011674654,-0.07620201,0.025413403,-0.9391771,-0.55870837,-0.18236572,-0.3813653,0.049162652,-0.5888639,0.40762866
c_1_32_446,-0.8119721,-0.5653403,2.6364098,0.1555881,0.60119,-0.30790257,1.2391106,0.12700778,-0.9136551,-1.0972586,0.4729726,-0.8059788,-0.23061159,0.33196396,-0.71740305,1.1160681,-1.1480982,-0.9678959,-0.039059754,1.2034615,0.71927875,-1.1888986,0.69315755,0.6663489,-0.5837314,0.9685356,0.7293085,1.2790663,-0.24984182,0.1447254
c_1_32_447,-1.4751092,-0.8007606,0.61704934,-0.7902528,-0.6719458,-0.99449956,0.33236396,-0.66447204,-0.4161242,-1.0842633,0.36028212,-1.4256756,-0.1602483,0.65264773,-0.7863935,0.34670058,-1.0321912,-1.1628208,-0.4159757,-0.5045166,-0.321823,0.58215135,0.9439191,0.5967342,-1.4608622,1.420534,0.4328459,1.6015735,0.108401,-0.028111191
c_1_32_448,-1.1312714,-2.3302345,0.07526803,0.87623847,-1.8115892,0.89367026,-2.0370862,-0.15548126,-1.6300837,-1.0910872,-0.16657189,0.61395216,-0.5633299,-0.6164729,-0.9839362,-0.10844151,0.08933816,-1.6017878,-0.17852828,-1.7943743,-1.215196,-0.73042524,-0.44533908,0.5907033,-1.3894986,-0.061776474,-0.015498733,-0.06505015,-1.0031902,-0.701172
