cell_id,4-1BB,CD11c,CD123,CD127,CD14,CD16,CD40,CD45RA,CD68,CTLA4,EGFR,FABP4,FOXP3,GITR,GZMA,ICAM1,ICOS,IDO1,IL-18,IL-1b,IgD,Ki-67,LAG3,Ms IgG1,PD-1,PD-L1,PD-L2,Tim-3,iNOS,p53
c_1_19_1503,0.99316967,-0.1536749,0.73996425,1.450328,0.29077315,0.08284476,-0.08655251,-0.42777097,0.10833519,1.3835188,1.7461253,-0.43831375,0.27655172,1.050737,0.5120511,-0.4029657,0.67007583,0.653704,1.0190731,0.9789091,-0.9152581,2.002243,1.9988967,0.35029936,0.1756433,1.0928636,1.244084,-0.05455775,0.65256757,0.21637037
c_1_19_1504,-0.41449708,-0.6383564,-0.64688665,-0.22362609,-0.89695734,-1.5678942,-0.8933713,-0.9703232,0.0019216172,-0.1291086,-0.27668703,-1.2888957,-0.4824051,-0.24219258,-1.2248753,-0.8823247,-0.6165826,-0.28107184,0.042994212,-0.22557698,-0.63568556,0.022729695,-0.045829616,-0.7034358,-0.6224271,-1.3098683,0.09520733,-0.9350826,-0.7591294,-1.11274
c_1_19_1505,0.89119655,-0.07317346,0.31286508,1.454522,-0.47094867,0.049415026,-0.31634784,-0.11395415,0.01717609,0.50393903,0.5767346,-0.57977617,0.059146587,0.38637063,0.23084684,-0.31885505,-0.5495671,0.57065296,0.33334714,0.6144682,-0.025218932,2.0832064,0.5519247,0.26502204,-0.24737605,-0.1661276,0.34627432,-0.64268017,-0.25605112,0.24934658
c_1_19_1506,2.8518705,-0.76179874,1.245824,0.7257656,0.5462149,0.008423122,0.5309766,0.14521976,0.17949645,0.4834071,2.067408,1.2069907,1.2706631,0.08607736,-0.21263994,-0.20239268,-0.6165826,1.1919333,1.3922185,0.09369694,-0.012450121,0.5428886,-0.027613703,-0.5898416,0.71034235,-0.5630626,0.6063277,0.88218135,0.5968648,-0.23708539
c_1_19_1507,0.65218,-0.58423406,0.41130435,1.316993,-0.28236046,-1.556417,-0.17356148,0.30600208,-0.2748344,-0.08915697,1.3827895,-0.4548235,0.43101922,0.08192347,-0.3001563,-0.2083869,-0.71843547,0.3173147,-0.011585341,-0.013617792,-0.102036774,1.0553182,-0.46465296,-0.05543165,-0.07062725,-0.90171826,-0.21417625,-0.21114366,-0.44752723,-0.27867714
c_1_19_1508,1.0738251,0.39664525,0.92640877,0.21889123,0.4765737,-0.15589166,0.5733748,-0.6751394,0.2573224,-0.1297926,1.5051222,0.4995182,1.348924,0.36901122,-0.2307523,-0.6016978,0.100064896,1.0672139,1.2153016,0.6782,-0.102036774,0.5945989,0.35896507,-0.32878512,0.9856685,-0.3860915,0.26302007,0.6413333,-0.048517156,-0.29038498
c_1_19_1509,0.46928838,-0.7724388,-0.1710113,-0.40104452,-0.4251713,-0.5791582,-0.6124426,-0.83697987,0.44097474,0.13689707,-0.48085925,-0.44311416,-0.87429214,0.37954706,0.40310633,-0.83790404,-0.30886966,-0.63917726,-0.04994484,0.5165298,-0.475414,0.38198474,0.20771751,-0.020811073,-0.19976269,0.35641018,0.17785761,-1.0030408,-0.3862718,0.055986412
c_1_19_1510,-0.20100965,-0.61357313,0.50060296,-0.9225121,0.7947746,0.015323386,0.89661,-0.75264245,-0.116866276,0.23616762,0.035513088,0.19035034,0.7525062,-0.54211795,-0.07049645,1.8136495,-1.5646402,0.94824624,0.26790145,-1.1218196,-1.3448113,-0.66975915,-0.9004887,-0.4607292,-0.13129853,-1.1834396,0.19516233,1.0792979,0.13248324,0.38166434
c_1_19_1511,-0.50121975,-0.8541016,0.036780268,0.120794706,-0.032164436,-2.0270767,-0.27039748,-0.15770835,0.7414909,-0.75161237,0.42312285,-0.9148784,0.6482163,-1.411378,-1.2954946,0.76301974,-0.68246555,0.42063704,0.6271077,-0.9304241,-1.2078527,-1.1156183,-1.5992792,-0.617704,-0.15795906,-2.4816346,-0.34677362,0.8322519,-1.3292791,0.67000264
c_1_19_1512,0.47257516,0.27736753,-0.5053355,-1.0699631,-0.18022612,-1.3066288,-0.2633624,-1.1224732,0.26030338,-0.4154228,-0.14495715,-0.25255147,-0.5941568,0.6900589,-0.217153,-1.1265794,-0.2776131,-0.36881134,0.05375791,-0.0076331925,0.14973402,0.17321114,-0.56104267,0.059328068,-0.3011429,-0.1205582,-0.19600783,-1.0026187,0.028388046,-0.13205488
