cell_id,4-1BB,CCR7,CD123,CD127,CD138,CD14,CD15,CD163,CD31,CD38,CD45RA,CTLA4,FABP4,GITR,GZMA,GZMB,ICOS,IL-18,IgD,Ki-67,LAG3,Ms IgG1,PD-1,PD-L1,PD-L2,Rb IgG,TCF7,Tim-3,Vimentin,p53
c_1_10_3147,0.39076346,-0.19917417,0.46503296,0.5211551,0.1659076,-1.3634048,-0.36506912,-0.37152576,1.8492116,-0.49417236,0.42503586,-0.34251717,-0.88619226,-0.29152626,-0.0014706801,-0.051164526,-0.99515665,-0.6517002,1.1986848,-0.05623359,-0.48583308,-0.31096834,-0.9572073,-0.7543035,-0.07714468,-0.047677882,-0.36167288,-1.0370592,0.26592204,0.168763
c_1_10_3148,0.20978047,-0.29171288,-0.3663846,0.33335435,-0.43011656,-1.1298456,-0.45933798,-0.22971255,0.7541156,-0.45038375,1.3303602,-0.27619413,-0.8819003,-0.49242312,0.7301885,-0.54609954,-0.32099396,-0.71013176,1.607509,0.54715073,-0.32335812,0.0035714102,0.5361215,0.477564,-0.7978174,-0.4624933,-0.6936363,-0.15673754,0.7263757,-0.4271483
c_1_10_3149,-0.38585657,-0.5981647,-0.520917,0.5362505,-0.75093657,0.73804694,-0.6221987,-0.5572489,-0.17499413,0.6517039,-0.15862656,-0.6073756,-0.8353744,-0.59878707,-0.22108848,0.19394465,-1.0274808,-0.10118942,-0.07298699,-0.10507766,-0.79167205,-0.48122373,-0.5947741,-0.5953711,-0.7036323,-0.5322425,0.20536208,0.6022239,0.51452833,-0.23286843
c_1_10_3150,-0.35296687,0.13998877,0.36326683,-0.08992167,-0.42405027,0.27918893,-0.4720067,-0.6390513,-0.00045377493,0.7074697,-0.34566504,-0.09075568,-0.19165702,-0.11787374,-0.7167352,-0.1324771,-0.4809133,0.54699755,-0.089061536,-0.80292094,-0.16501442,-0.7009364,0.19196287,-0.06945364,-0.33127898,-0.7045678,-0.068348974,0.61489373,0.9255503,0.0977714
c_1_10_3151,-0.26487163,-1.0931019,-1.1020619,0.26988024,-0.6971571,-0.5117052,-0.91693175,-1.5086087,-0.38694772,0.70572114,0.23527794,-0.2642109,-0.7059495,-0.2474535,-1.3151376,0.4906076,-1.5894349,0.12245106,-0.84133923,-1.1731967,-0.4278476,-0.66724443,-0.9065301,-1.4628814,-0.38512388,-0.5024155,-0.87438416,0.4219241,0.7074293,0.22633076
c_1_10_3152,-0.38828963,0.14371224,-0.18510441,0.21795887,-0.44886476,-0.920874,-0.9278217,-0.45160988,0.8228432,-0.27701768,1.2031085,-0.45945454,-0.7714638,-0.61146575,-0.8401811,-0.8369294,-0.8107328,-1.1065415,0.5541918,-0.6392166,-1.1619185,-0.922197,-1.4382004,-0.7108091,-1.252432,-0.7548664,-1.0864637,-0.7575266,0.51251435,-1.724168
c_1_10_3153,-0.6340466,-0.43823645,-0.2618772,0.5246863,-0.67650115,2.0340772,-0.19018558,0.2358776,-0.6503652,0.42476636,-0.8145041,-0.4748593,-0.96442837,0.1603641,0.035598207,-0.100009404,0.52255845,0.10745805,0.39779127,-1.8980238,-0.47624934,-0.6896429,-0.6941657,-0.2892964,-0.2487622,-0.7403307,-0.22652777,-0.22856244,0.2548849,-0.50924176
c_1_10_3154,0.347503,0.42607567,-0.22311622,-0.39252335,-1.0471076,0.14773421,-0.51055765,-0.8237695,1.7199588,-0.10541898,1.7060859,-1.0434004,-0.64955723,-0.11534715,-0.81308144,-0.89007735,-0.90423834,1.0100014,1.3379306,-0.65854627,-0.5982411,-0.24219593,-0.35781875,0.04892185,-0.28570923,-0.3108369,-0.8278654,-0.7911072,0.29146078,-1.2272389
c_1_10_3155,-0.72632563,-1.1294888,-0.44499567,-0.42826152,-0.877431,0.0889262,-0.84249574,-0.05291162,2.2801385,-0.7726528,-0.80933076,-0.18059249,-0.34441727,0.009715841,-0.28211915,-1.4015106,-1.0247636,-0.6847859,-0.57411504,-0.5174965,-0.6826253,-0.76421124,1.1705272,1.3060836,-1.1900682,-1.5896659,-0.5862644,-1.0006859,0.26458517,0.040781613
c_1_10_3156,0.22542599,0.22106943,0.37084872,0.13241686,2.32133,-0.62823313,0.69552135,0.52371514,1.7571189,-0.16907331,0.1254081,0.12975895,1.2580742,0.3479817,0.744683,0.51215994,0.3045917,-0.4805312,0.6552893,1.0346498,0.4098529,0.5638538,0.4366597,0.35988626,0.8740632,0.62789845,0.43707618,1.2513263,0.44457018,0.5522417
