cell_id,ADIRF,AXL,AZU1,BMP1,CASR,COL5A3,DDR1,DHRS2,DMBT1,EFNA1,EPHB6,ERBB2,ERBB3,FES,FLT1,FLT3LG,GSTP1,IDO1,IFNGR2,IL11,INSR,MERTK,OSM,PRF1,SELPLG,SERPINB5,TIGIT,TLR3,TNFRSF13B,TNFSF10
c_1_42_26,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,6.186127706587574,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,6.8104969579056975,-0.24609766852445572,-0.29202440033431937
c_1_42_27,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_29,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,5.973292708464238,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,7.38189448789832,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_30,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,6.426725800580462,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,2.6586146847373575,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_31,-0.2975167622002225,-0.18387587507325992,1.2887718766931562,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,1.1150391081691802,1.1003131875500296,-0.19308627165952008,1.0558420774416748,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,1.098327948568114,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,1.358450171175735,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,1.3819189823231643,-0.24609766852445572,-0.29202440033431937
c_1_42_32,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_33,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,2.971832098074393,3.9242124163406777,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,3.7757517935983036,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_34,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_35,0.8879052750311339,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,1.8341498975426824,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,2.118428300281152,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_36,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,4.973821610404363,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,3.7561828385906515,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_37,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_38,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_40,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,2.412184857544038,2.7080505649563964,-0.23247942866807372,3.3954636609794355,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,4.0143862443874445,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,4.611365714275788,-0.24609766852445572,-0.29202440033431937
c_1_42_41,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_42,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_43,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_44,-0.2975167622002225,5.982369030415049,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,-0.23247942866807372,-0.19308627165952008,-0.24702181053764072,4.183120384952112,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,3.498443442746939,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
c_1_42_45,-0.2975167622002225,-0.18387587507325992,-0.20856912534938857,-0.19054455907895185,-0.16506863863420299,-0.1891264885848402,-0.263710973954202,-0.20587921507971757,-0.19090180782795935,-0.25499241641092174,-0.22217811213506752,7.397376469704485,-0.19308627165952008,-0.24702181053764072,-0.18981130307607838,-0.22987724313492613,-0.31965517508331065,-0.19183803583523182,-0.24834806746114485,-0.2044939981228299,-0.22977048220802737,-0.13363311940790307,-0.19932641296422132,-0.2006579859462877,-0.24963182735567785,-0.1444788487591488,-0.24321815352832635,-0.193786536801106,-0.24609766852445572,-0.29202440033431937
