cell_id,BCL2,BMP4,BST1,C1QB,CD38,CSF2,DHRS2,HSP90B1,ICAM1,IER3,IL2RG,IL6R,JAK1,LAMP2,LGALS9,MT1X,NELL2,NOD2,NUPR1,OSMR,PDGFRA,PXDN,RACK1,RXRB,SMO,SRGN,SYK,TFEB,TNFRSF17,YES1
c_1_17_14,-0.1942596899105517,-0.13382900517871954,-0.07991563742477431,-0.13156219466241403,-0.1026708110427179,-0.09981565012291212,-0.12944800517558983,6.458588864489445,-0.15658766951928943,-0.2399577134499929,-0.08309520538910511,-0.15468686724172942,-0.24497215695978647,-0.16131023072023584,-0.1265407967099584,-0.21841157213883614,-0.12718413390895386,-0.1699259229450964,-0.222778328707837,-0.13111652878651353,-0.1865673989706801,-0.1298571034053236,-0.1798926553314885,-0.15870617129303385,-0.19059928681968716,-0.20556504170294987,-0.10979667111646717,-0.10958181091361673,-0.07025961366787063,-0.12404160603380765
c_1_17_15,-0.1942596899105517,-0.13382900517871954,-0.07991563742477431,-0.13156219466241403,-0.1026708110427179,-0.09981565012291212,-0.12944800517558983,-0.1695869665641952,-0.15658766951928943,-0.2399577134499929,-0.08309520538910511,-0.15468686724172942,-0.24497215695978647,-0.16131023072023584,-0.1265407967099584,-0.21841157213883614,-0.12718413390895386,-0.1699259229450964,-0.222778328707837,-0.13111652878651353,-0.1865673989706801,-0.1298571034053236,-0.1798926553314885,-0.15870617129303385,-0.19059928681968716,-0.20556504170294987,-0.10979667111646717,-0.10958181091361673,-0.07025961366787063,-0.12404160603380765
c_1_17_16,-0.1942596899105517,-0.13382900517871954,-0.07991563742477431,-0.13156219466241403,-0.1026708110427179,-0.09981565012291212,-0.12944800517558983,-0.1695869665641952,-0.15658766951928943,-0.2399577134499929,-0.08309520538910511,-0.15468686724172942,2.999691771747455,-0.16131023072023584,-0.1265407967099584,-0.21841157213883614,-0.12718413390895386,-0.1699259229450964,-0.222778328707837,-0.13111652878651353,-0.1865673989706801,-0.1298571034053236,-0.1798926553314885,-0.15870617129303385,4.421388812416712,-0.20556504170294987,-0.10979667111646717,-0.10958181091361673,-0.07025961366787063,-0.12404160603380765
c_1_17_17,-0.1942596899105517,-0.13382900517871954,-0.07991563742477431,-0.13156219466241403,-0.1026708110427179,-0.09981565012291212,-0.12944800517558983,7.643107394499307,-0.15658766951928943,-0.2399577134499929,-0.08309520538910511,-0.15468686724172942,-0.24497215695978647,-0.16131023072023584,-0.1265407967099584,-0.21841157213883614,-0.12718413390895386,-0.1699259229450964,-0.222778328707837,-0.13111652878651353,-0.1865673989706801,-0.1298571034053236,-0.1798926553314885,-0.15870617129303385,-0.19059928681968716,-0.20556504170294987,-0.10979667111646717,-0.10958181091361673,-0.07025961366787063,-0.12404160603380765
c_1_17_18,-0.1942596899105517,-0.13382900517871954,-0.07991563742477431,-0.13156219466241403,-0.1026708110427179,-0.09981565012291212,-0.12944800517558983,-0.1695869665641952,-0.15658766951928943,-0.2399577134499929,-0.08309520538910511,-0.15468686724172942,-0.24497215695978647,-0.16131023072023584,-0.1265407967099584,-0.21841157213883614,-0.12718413390895386,-0.1699259229450964,-0.222778328707837,-0.13111652878651353,-0.1865673989706801,-0.1298571034053236,-0.1798926553314885,-0.15870617129303385,-0.19059928681968716,-0.20556504170294987,-0.10979667111646717,-0.10958181091361673,-0.07025961366787063,-0.12404160603380765
c_1_17_19,-0.1942596899105517,-0.13382900517871954,-0.07991563742477431,-0.13156219466241403,-0.1026708110427179,-0.09981565012291212,-0.12944800517558983,-0.1695869665641952,-0.15658766951928943,-0.2399577134499929,-0.08309520538910511,-0.15468686724172942,5.007878971357193,-0.16131023072023584,-0.1265407967099584,-0.21841157213883614,-0.12718413390895386,-0.1699259229450964,-0.222778328707837,-0.13111652878651353,-0.1865673989706801,-0.1298571034053236,-0.1798926553314885,-0.15870617129303385,-0.19059928681968716,-0.20556504170294987,-0.10979667111646717,-0.10958181091361673,-0.07025961366787063,-0.12404160603380765
c_1_17_20,-0.1942596899105517,-0.13382900517871954,-0.07991563742477431,-0.13156219466241403,-0.1026708110427179,-0.09981565012291212,-0.12944800517558983,-0.1695869665641952,-0.15658766951928943,-0.2399577134499929,-0.08309520538910511,-0.15468686724172942,3.011786580061575,-0.16131023072023584,-0.1265407967099584,-0.21841157213883614,-0.12718413390895386,4.742285968827387,-0.222778328707837,-0.13111652878651353,-0.1865673989706801,-0.1298571034053236,4.723143857061306,-0.15870617129303385,-0.19059928681968716,-0.20556504170294987,-0.10979667111646717,-0.10958181091361673,9.519961920590687,-0.12404160603380765
c_1_17_21,1.430632136921195,-0.13382900517871954,-0.07991563742477431,-0.13156219466241403,-0.1026708110427179,-0.09981565012291212,-0.12944800517558983,-0.1695869665641952,2.3178855413280997,-0.2399577134499929,-0.08309520538910511,-0.15468686724172942,1.223222610854048,-0.16131023072023584,-0.1265407967099584,1.3084379052332382,-0.12718413390895386,1.5333190779779418,0.4699134637253483,0.8243264815917041,-0.1865673989706801,-0.1298571034053236,-0.1798926553314885,-0.15870617129303385,-0.19059928681968716,2.33892576914147,-0.10979667111646717,-0.10958181091361673,-0.07025961366787063,-0.12404160603380765
c_1_17_22,-0.1942596899105517,-0.13382900517871954,-0.07991563742477431,-0.13156219466241403,-0.1026708110427179,-0.09981565012291212,-0.12944800517558983,-0.1695869665641952,-0.15658766951928943,-0.2399577134499929,-0.08309520538910511,-0.15468686724172942,-0.24497215695978647,-0.16131023072023584,-0.1265407967099584,-0.21841157213883614,-0.12718413390895386,-0.1699259229450964,-0.222778328707837,-0.13111652878651353,4.61759395163756,-0.1298571034053236,-0.1798926553314885,-0.15870617129303385,5.733604907388924,-0.20556504170294987,-0.10979667111646717,-0.10958181091361673,-0.07025961366787063,-0.12404160603380765
c_1_17_23,-0.1942596899105517,-0.13382900517871954,-0.07991563742477431,-0.13156219466241403,-0.1026708110427179,-0.09981565012291212,-0.12944800517558983,-0.1695869665641952,-0.15658766951928943,-0.2399577134499929,-0.08309520538910511,-0.15468686724172942,-0.24497215695978647,-0.16131023072023584,-0.1265407967099584,-0.21841157213883614,-0.12718413390895386,-0.1699259229450964,-0.222778328707837,-0.13111652878651353,-0.1865673989706801,-0.1298571034053236,-0.1798926553314885,-0.15870617129303385,-0.19059928681968716,-0.20556504170294987,-0.10979667111646717,-0.10958181091361673,-0.07025961366787063,-0.12404160603380765
