cell_id,BEST1,CAMP,CCL2,CCL22,CCL4/L1/L2,CD19,CD79A,CD84,CXCR1,EPOR,FCGR3A/B,FOS,GPER1,HBA1/2,IL27RA,KIT,KLRF1,LINC01781,MS4A6A,PDGFA,PTGES,RGS5,S100A2,SAT1,SLC2A1,STAT4,TNFAIP6,TNFRSF13B,TOP2A,TYK2
c_1_41_11,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,2.4930252496795378,-0.3314078779948044,2.3150192076458973,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,3.675864224296746,-0.3654395053334313,-0.32714661284840946,3.227739784536758,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_12,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,4.255542308481598,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,-0.3331953009713117,-0.3314078779948044,-0.37784665603706474,3.971257026882298,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,3.9336627146341234,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,5.0970484454256715
c_1_41_13,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,-0.3331953009713117,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_14,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,-0.3331953009713117,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,5.121070137746623,3.4342612301939934,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,4.873971619454235,-0.349063141626233
c_1_41_15,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,-0.3331953009713117,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_16,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,3.4301166895351938,2.4329108860944952,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,2.943220794511438,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,3.827590541656473,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,3.782787828962924,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_17,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,3.411934981026085,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_18,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,-0.3331953009713117,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_19,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,3.787315548671536,-0.36126124801881837,-0.3331953009713117,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,3.8940588479298963,-0.30932630404726363,3.66226208236426,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,3.2745758480232796
c_1_41_20,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,1.7783748609632348,-0.26267756023179234,1.7733397961488855,-0.29278098164261607,-0.36126124801881837,-0.3331953009713117,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,1.7121428548940547,-0.3308999232167702,1.9137594919543592,-0.2519225455405422,-0.3654395053334313,1.6035638232609923,-0.2567198192150604,1.9223953094025186,-0.2730774415715969,-0.22974779467141962,1.4909905142751574
c_1_41_21,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,-0.3331953009713117,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,6.308692936202994,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
c_1_41_22,-0.27181205564216,-0.28218354690045777,-0.2433748050323392,-0.25458960089463445,-0.30823365805870867,-0.40612701590428985,-0.40481357664502937,-0.26267756023179234,-0.27619942064124975,-0.29278098164261607,-0.36126124801881837,-0.3331953009713117,-0.3314078779948044,-0.37784665603706474,-0.3349888197849842,-0.23117057300138882,-0.18756902115651955,-0.23874435157925825,-0.30932630404726363,-0.29971715878381544,-0.3308999232167702,-0.24842538376178253,-0.2519225455405422,-0.3654395053334313,-0.32714661284840946,-0.2567198192150604,-0.2417368454881872,-0.2730774415715969,-0.22974779467141962,-0.349063141626233
