cell_id,ACVR1B,ATF3,CCL21,CD59,CD8A,CIITA,COL6A3,CSF2RB,CST7,DDC,HBA1/2,HSP90AA1,IFNA1/13,IFNL2/3,IL1R1,IL24,IRF3,ITGA5,KRT17,LCN2,MARCKSL1,NELL2,NFKBIA,NUPR1,RAMP2,RELT,RORA,TNFRSF4,UPK3A,VHL
c_1_20_22,-0.32110695265625977,-0.2612566595853841,0.8878707078777487,-0.3096629713068041,-0.27773036679953095,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,-0.4255983294349972,-0.3594405325101027,1.6587486511305056,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,0.9669253685205903,-0.3600628664201626,-0.2711742513691913,-0.394329310444269,1.3419335061548123,1.0470413579191304,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,-0.24708002598100814,-0.29169043318165216,1.161417039426967,-0.23630529294564898,-0.25195399740618407,0.6045556565272796
c_1_20_23,-0.32110695265625977,-0.2612566595853841,-0.294010008460855,-0.3096629713068041,-0.27773036679953095,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,-0.4255983294349972,-0.3594405325101027,-0.41925861082078963,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,2.5367007312336134,-0.3600628664201626,-0.2711742513691913,-0.394329310444269,-0.23742288869627054,-0.4416991749433919,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,-0.24708002598100814,2.7294933185246895,-0.24727645672476195,-0.23630529294564898,-0.25195399740618407,-0.39645716569644
c_1_20_24,-0.32110695265625977,-0.2612566595853841,-0.294010008460855,0.6851471047376655,-0.27773036679953095,-0.2856431962226859,-0.32672585266892207,0.9787370378300854,-0.2834629368284173,-0.4255983294349972,-0.3594405325101027,1.5016238610434693,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,-0.2950776809830077,-0.3600628664201626,-0.2711742513691913,-0.394329310444269,-0.23742288869627054,1.4853494120801956,-0.22113992063408247,0.7671749136635473,-0.3405966452200699,0.46153865205644734,0.3255528936917317,0.398518478780566,-0.23630529294564898,-0.25195399740618407,0.06244252592132055
c_1_20_25,-0.32110695265625977,-0.2612566595853841,1.562432127370958,-0.3096629713068041,-0.27773036679953095,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,1.0025213074454202,-0.3594405325101027,0.49396703266329234,0.9524737881825939,0.8581540116312386,-0.1910545237126144,-0.2950776809830077,1.365663724378022,-0.2711742513691913,-0.394329310444269,-0.23742288869627054,1.3525050041446511,-0.22113992063408247,1.2011040952890257,-0.3405966452200699,-0.24708002598100814,-0.29169043318165216,-0.24727645672476195,-0.23630529294564898,-0.25195399740618407,0.5582333988503047
c_1_20_26,-0.32110695265625977,-0.2612566595853841,-0.294010008460855,-0.3096629713068041,0.883840722924765,-0.2856431962226859,-0.32672585266892207,0.9746748903679142,-0.2834629368284173,0.8244041409418771,-0.3594405325101027,0.8972059094624332,-0.2942533491016573,0.6999628555559381,-0.1910545237126144,0.74771514326548,0.5477615314589774,-0.2711742513691913,0.9989619946732571,-0.23742288869627054,0.7815622720262021,-0.22113992063408247,0.4553430819214324,-0.3405966452200699,-0.24708002598100814,1.559420001335718,-0.24727645672476195,-0.23630529294564898,-0.25195399740618407,-0.39645716569644
c_1_20_27,-0.32110695265625977,-0.2612566595853841,1.4228035537487076,-0.3096629713068041,-0.27773036679953095,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,0.8951081519202732,-0.3594405325101027,0.9716692198163004,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,1.53812250663802,-0.3600628664201626,-0.2711742513691913,-0.394329310444269,-0.23742288869627054,1.5368543410486877,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,-0.24708002598100814,-0.29169043318165216,-0.24727645672476195,-0.23630529294564898,-0.25195399740618407,-0.39645716569644
c_1_20_28,-0.32110695265625977,-0.2612566595853841,-0.294010008460855,-0.3096629713068041,-0.27773036679953095,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,-0.4255983294349972,-0.3594405325101027,0.8741920327596606,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,-0.2950776809830077,-0.3600628664201626,-0.2711742513691913,0.9746050645676729,-0.23742288869627054,-0.4416991749433919,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,-0.24708002598100814,-0.29169043318165216,-0.24727645672476195,-0.23630529294564898,-0.25195399740618407,-0.39645716569644
c_1_20_29,-0.32110695265625977,-0.2612566595853841,-0.294010008460855,1.141400598187751,-0.27773036679953095,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,0.6738354477141419,-0.3594405325101027,0.7386315488534022,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,-0.2950776809830077,-0.3600628664201626,-0.2711742513691913,-0.394329310444269,-0.23742288869627054,2.040415014408854,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,-0.24708002598100814,-0.29169043318165216,-0.24727645672476195,-0.23630529294564898,-0.25195399740618407,-0.39645716569644
c_1_20_30,-0.32110695265625977,-0.2612566595853841,-0.294010008460855,-0.3096629713068041,-0.27773036679953095,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,-0.4255983294349972,-0.3594405325101027,-0.41925861082078963,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,-0.2950776809830077,-0.3600628664201626,-0.2711742513691913,-0.394329310444269,-0.23742288869627054,-0.4416991749433919,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,-0.24708002598100814,-0.29169043318165216,-0.24727645672476195,-0.23630529294564898,-0.25195399740618407,-0.39645716569644
c_1_20_31,1.5009071837802976,-0.2612566595853841,-0.294010008460855,-0.3096629713068041,1.0522138752875412,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,0.43456730856600856,-0.3594405325101027,1.08057511460398,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,0.8988710360328136,0.6793533531003292,-0.2711742513691913,-0.394329310444269,1.2567656888074856,0.40006513185625386,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,-0.24708002598100814,-0.29169043318165216,-0.24727645672476195,2.4238444600803994,-0.25195399740618407,1.1714763634029086
c_1_20_32,-0.32110695265625977,-0.2612566595853841,-0.294010008460855,-0.3096629713068041,-0.27773036679953095,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,-0.4255983294349972,-0.3594405325101027,-0.41925861082078963,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,-0.2950776809830077,-0.3600628664201626,-0.2711742513691913,-0.394329310444269,-0.23742288869627054,-0.4416991749433919,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,5.026355721488705,-0.29169043318165216,-0.24727645672476195,-0.23630529294564898,-0.25195399740618407,-0.39645716569644
c_1_20_33,-0.32110695265625977,-0.2612566595853841,-0.294010008460855,-0.3096629713068041,5.225931381509148,-0.2856431962226859,-0.32672585266892207,-0.25839410861373174,-0.2834629368284173,-0.4255983294349972,-0.3594405325101027,4.280888858226076,-0.2942533491016573,-0.3258442776521772,-0.1910545237126144,-0.2950776809830077,-0.3600628664201626,-0.2711742513691913,-0.394329310444269,-0.23742288869627054,-0.4416991749433919,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,-0.24708002598100814,-0.29169043318165216,-0.24727645672476195,-0.23630529294564898,-0.25195399740618407,-0.39645716569644
c_1_20_34,-0.32110695265625977,-0.2612566595853841,0.6089430715994837,-0.3096629713068041,-0.27773036679953095,-0.2856431962226859,0.4982124803834817,-0.25839410861373174,-0.2834629368284173,-0.4255983294349972,-0.3594405325101027,1.1881568980252941,0.7044579422057548,1.2726506370154358,-0.1910545237126144,-0.2950776809830077,1.0545818912962803,-0.2711742513691913,0.9105521175181623,-0.23742288869627054,1.0519145084769566,-0.22113992063408247,-0.3724087553806886,-0.3405966452200699,1.7432158541528633,-0.29169043318165216,0.828960860313206,1.950455370895419,-0.25195399740618407,-0.39645716569644
