cell_id,4-1BB,CCR7,CD11b,CD123,CD138,CD14,CD163,CD40,CD68,CTLA4,FABP4,FOXP3,GITR,GZMB,ICOS,IDO1,IL-18,IL-1b,IgD,Ki-67,LAG3,LAMP1,PD-L1,PD-L2,STING,VISTA,Vimentin,iNOS,p53,pan-RAS
c_1_52_112,-1.3802264,-1.4022634,-2.3209274,-2.022172,-0.6791279,-2.5688548,-0.79994154,-2.5197036,-1.4803945,-1.908286,-1.5912706,-2.2000153,-1.583153,-2.6234052,-1.5369102,-2.3268068,-2.3698292,-1.1015092,-1.3866222,-2.1979957,-2.026709,-2.389266,-2.0229313,-2.0389125,-2.747412,-2.5000947,-2.842001,-0.57235014,-2.0474057,-2.7634077
c_1_52_113,-2.240931,-1.2593759,-2.019729,-2.4413235,-1.9846786,-2.4704514,-0.022001214,-2.3308122,-1.6710627,-1.7869911,-1.9709882,-2.8658257,-2.3584318,-3.791758,-2.077592,-2.282055,-3.3038955,-1.1894498,-0.5398338,-2.4741716,-2.3256555,-2.6842775,-1.9936961,-2.4739957,-1.8361434,-3.1672435,1.0265824,-1.5976993,-2.172905,-2.7698364
c_1_52_114,-2.3545346,-0.32989573,-1.3404822,-1.6434481,-0.41342762,-1.1684219,-0.7052347,-1.3917578,-2.0088472,-2.6697834,-0.061649635,-2.6712341,-2.9178417,-2.2983303,-1.9795703,-2.3787825,-2.5197651,-2.120626,-0.88222194,-2.3335826,-1.5329098,-2.0564494,-1.7316912,-2.2782333,-1.6695205,-2.106412,0.7236384,-0.84555775,-3.222858,-1.1073574
c_1_52_115,-1.4534248,-1.432957,-2.3331478,-1.5216271,0.8370317,-2.60159,-0.61153156,-2.4025733,-1.4522333,-1.9951987,-1.2585464,-2.2378976,-2.0018356,-2.8790324,-1.4156365,-2.0988078,-2.1837473,-0.8209564,-0.82181084,-1.0525115,-0.94819254,-2.776588,-1.7507292,-1.6552962,-2.0692618,-2.2230456,-0.9378027,2.0558362,-2.161047,-2.0904555
c_1_52_116,-0.89416903,-1.4158397,-1.6041105,-1.4601538,-1.0298818,-1.9295807,-0.80640477,-1.8774475,-3.3422692,-1.3565226,-1.0801388,-1.8060055,-0.48764896,-2.3865085,-2.1259446,-1.7381505,-1.4570603,-0.31915292,-0.44029137,-1.0188825,0.20766069,-2.3331428,-0.8435608,-0.78457385,-1.3937305,-1.2877798,0.48429593,-2.1214967,-0.5155951,-3.129531
c_1_52_117,-1.5532433,-0.43479928,-2.0162354,-1.5187994,-0.6594219,-1.6798494,-0.45463976,-2.3631096,-1.9287553,-2.894284,0.14714727,-2.324099,-3.3267221,-2.3457625,-1.8887231,-2.492614,-2.0698335,-1.8017513,-0.7563908,-2.6444669,-1.7104597,-1.2158965,-2.1693,-3.0590131,-1.8252476,-2.5470827,0.5368766,-0.9279089,-2.5933301,-1.2768734
c_1_52_118,-1.4902761,-0.9931865,-1.1937064,-1.4990946,0.45858943,-0.80019695,-0.2574928,-1.8324338,-1.4389553,-1.4256855,-0.97324806,-0.9015974,-2.0109456,-2.0272179,-1.0678548,-1.7152122,-2.103172,-0.4554737,-0.86024874,-0.6240354,-0.65256315,-1.7190557,-1.4949857,-1.2270098,-1.7420765,-2.0761573,0.20175017,-0.5623416,-1.7819011,0.037788514
c_1_52_119,-1.5484518,-0.52340865,-1.2454174,-2.4454453,-2.6463366,0.13946833,1.041516,-2.0642855,-0.25283873,-2.304097,-2.7578828,-2.8019443,-3.3384433,-2.6579957,-2.0458333,-2.5441403,-3.0618613,-2.0716207,-0.05452494,-3.1312182,-2.0775383,0.22936477,-2.160482,-2.368452,-1.6186752,-2.4476109,-0.9738103,-0.65729094,-2.8354268,-0.8959575
c_1_52_120,-1.3081928,-0.78301126,-1.6069573,-1.5558193,-0.50499815,-2.9217954,-0.64431965,-2.1771946,-1.0487711,-2.0422103,-1.818414,-2.4034617,-1.8509886,-2.7920263,-1.5141544,-2.4004784,-2.2442803,-1.2141746,-0.6341925,-1.7121063,-1.419864,-2.5937598,-1.5765439,-2.4087422,-2.682963,-2.2733052,-2.384416,-1.2617959,-2.3580272,-2.843071
c_1_52_121,-0.5434721,-0.78301126,-0.57858264,-0.6340827,-0.043312155,0.78107107,0.4209137,-1.3445505,-0.3348592,-0.82599986,1.2053095,0.068955794,-1.001242,-0.8591652,-0.5804193,-1.8445145,-0.8135089,0.607652,0.5078187,-0.42433786,-0.21168305,-1.2994039,-0.940026,-0.6869604,-1.0685669,-1.1214387,0.7777024,0.33823076,-0.7644269,0.4226414
c_1_52_122,-2.3004074,0.11235417,-1.5042087,-2.2171526,-1.374421,-1.7187483,0.50383985,-1.8886074,-1.5841739,-3.006521,-1.9440266,-1.9792038,-2.7255218,-2.3605134,-1.3085876,-2.1824965,-2.1062248,-1.8108767,0.25307652,-2.9328532,-1.7304925,-0.7139807,-1.9853972,-2.0202398,-1.3716906,-1.9055046,2.1951835,-0.41799414,-1.9460183,-0.34781945
