cell_id,ACKR4,ADGRF1,ADGRG3,ADGRL1,ADM2,AHR,CALM3,CCL17,CCND1,CLEC2D,CX3CL1,DUSP2,FZD3,GPR183,ICAM3,IER3,IFIT1,IGF2,IL11,ISG15,ITGAM,KRT6A/B/C,LYN,MX1,MXRA8,NPR2,NRXN1,RGS1,SST,TGFBI
c_1_39_22,-0.17737728250978538,-0.1415499922757191,-0.11933800382523516,-0.1919306974414925,-0.14213804731553414,-0.2164587186888186,-0.2631790601043589,-0.17781304599451528,-0.22289099124313605,-0.15391484283520143,-0.16827002555642304,-0.19617323963286998,-0.14192272380048548,-0.1122769728743356,-0.18458198705755358,-0.2557106474477131,-0.1412106197887362,-0.16708081857771742,-0.15754564403725538,-0.22444792824294124,-0.13749282858221182,-0.2038141714863338,-0.11910319845378921,-0.1763735945355516,-0.2544772842005489,-0.19854729424823556,-0.1730733474312119,-0.20658586137927312,-0.12286678283073994,-0.177707579135912
c_1_39_23,-0.17737728250978538,-0.1415499922757191,-0.11933800382523516,-0.1919306974414925,-0.14213804731553414,-0.2164587186888186,-0.2631790601043589,-0.17781304599451528,-0.22289099124313605,-0.15391484283520143,-0.16827002555642304,-0.19617323963286998,-0.14192272380048548,-0.1122769728743356,-0.18458198705755358,-0.2557106474477131,-0.1412106197887362,-0.16708081857771742,-0.15754564403725538,-0.22444792824294124,-0.13749282858221182,-0.2038141714863338,-0.11910319845378921,-0.1763735945355516,-0.2544772842005489,-0.19854729424823556,-0.1730733474312119,-0.20658586137927312,-0.12286678283073994,-0.177707579135912
c_1_39_24,-0.17737728250978538,-0.1415499922757191,-0.11933800382523516,-0.1919306974414925,-0.14213804731553414,-0.2164587186888186,-0.2631790601043589,-0.17781304599451528,-0.22289099124313605,-0.15391484283520143,-0.16827002555642304,-0.19617323963286998,4.722935788511923,-0.1122769728743356,-0.18458198705755358,-0.2557106474477131,-0.1412106197887362,3.31182976096448,-0.15754564403725538,-0.22444792824294124,-0.13749282858221182,-0.2038141714863338,-0.11910319845378921,-0.1763735945355516,-0.2544772842005489,-0.19854729424823556,-0.1730733474312119,-0.20658586137927312,-0.12286678283073994,-0.177707579135912
c_1_39_25,2.4184651986263557,-0.1415499922757191,-0.11933800382523516,-0.1919306974414925,-0.14213804731553414,-0.2164587186888186,1.5504988283716075,-0.17781304599451528,-0.22289099124313605,-0.15391484283520143,-0.16827002555642304,-0.19617323963286998,-0.14192272380048548,-0.1122769728743356,2.7245689392865478,-0.2557106474477131,-0.1412106197887362,2.4790625301940645,-0.15754564403725538,-0.22444792824294124,-0.13749282858221182,-0.2038141714863338,3.9156022234524506,-0.1763735945355516,1.6512682414077953,3.2097488135578067,-0.1730733474312119,-0.20658586137927312,-0.12286678283073994,-0.177707579135912
c_1_39_26,-0.17737728250978538,-0.1415499922757191,-0.11933800382523516,3.051403191793546,-0.14213804731553414,-0.2164587186888186,0.8681691928593815,-0.17781304599451528,-0.22289099124313605,-0.15391484283520143,-0.16827002555642304,-0.19617323963286998,-0.14192272380048548,-0.1122769728743356,-0.18458198705755358,1.5885906324923833,-0.1412106197887362,-0.16708081857771742,-0.15754564403725538,-0.22444792824294124,-0.13749282858221182,-0.2038141714863338,-0.11910319845378921,-0.1763735945355516,0.9343015417916478,-0.19854729424823556,-0.1730733474312119,-0.20658586137927312,-0.12286678283073994,-0.177707579135912
c_1_39_27,-0.17737728250978538,-0.1415499922757191,-0.11933800382523516,-0.1919306974414925,-0.14213804731553414,-0.2164587186888186,-0.2631790601043589,-0.17781304599451528,-0.22289099124313605,-0.15391484283520143,-0.16827002555642304,-0.19617323963286998,-0.14192272380048548,-0.1122769728743356,-0.18458198705755358,-0.2557106474477131,-0.1412106197887362,-0.16708081857771742,-0.15754564403725538,-0.22444792824294124,3.5805576044961276,-0.2038141714863338,-0.11910319845378921,-0.1763735945355516,-0.2544772842005489,-0.19854729424823556,4.145989608236817,-0.20658586137927312,-0.12286678283073994,-0.177707579135912
c_1_39_28,-0.17737728250978538,-0.1415499922757191,-0.11933800382523516,-0.1919306974414925,8.094222809785942,-0.2164587186888186,-0.2631790601043589,-0.17781304599451528,6.482590490272204,-0.15391484283520143,-0.16827002555642304,-0.19617323963286998,-0.14192272380048548,-0.1122769728743356,-0.18458198705755358,-0.2557106474477131,-0.1412106197887362,-0.16708081857771742,-0.15754564403725538,-0.22444792824294124,-0.13749282858221182,-0.2038141714863338,-0.11910319845378921,-0.1763735945355516,-0.2544772842005489,-0.19854729424823556,-0.1730733474312119,-0.20658586137927312,-0.12286678283073994,-0.177707579135912
c_1_39_29,2.2165570931614416,-0.1415499922757191,-0.11933800382523516,-0.1919306974414925,-0.14213804731553414,-0.2164587186888186,-0.2631790601043589,-0.17781304599451528,-0.22289099124313605,-0.15391484283520143,-0.16827002555642304,-0.19617323963286998,-0.14192272380048548,-0.1122769728743356,3.7899057165352557,-0.2557106474477131,3.092709254318149,-0.16708081857771742,-0.15754564403725538,2.638028836670647,-0.13749282858221182,-0.2038141714863338,-0.11910319845378921,-0.1763735945355516,-0.2544772842005489,1.9467442574097467,2.216814761516304,-0.20658586137927312,-0.12286678283073994,-0.177707579135912
c_1_39_30,-0.17737728250978538,-0.1415499922757191,-0.11933800382523516,4.703748254320791,-0.14213804731553414,-0.2164587186888186,-0.2631790601043589,-0.17781304599451528,-0.22289099124313605,-0.15391484283520143,-0.16827002555642304,-0.19617323963286998,-0.14192272380048548,-0.1122769728743356,-0.18458198705755358,-0.2557106474477131,4.679056039126863,3.4703025936752097,-0.15754564403725538,-0.22444792824294124,-0.13749282858221182,-0.2038141714863338,-0.11910319845378921,-0.1763735945355516,2.3651567450898554,2.999082128455422,-0.1730733474312119,-0.20658586137927312,-0.12286678283073994,-0.177707579135912
c_1_39_31,-0.17737728250978538,-0.1415499922757191,-0.11933800382523516,-0.1919306974414925,-0.14213804731553414,-0.2164587186888186,-0.2631790601043589,-0.17781304599451528,-0.22289099124313605,-0.15391484283520143,-0.16827002555642304,-0.19617323963286998,-0.14192272380048548,-0.1122769728743356,-0.18458198705755358,-0.2557106474477131,-0.1412106197887362,-0.16708081857771742,-0.15754564403725538,-0.22444792824294124,-0.13749282858221182,-0.2038141714863338,-0.11910319845378921,-0.1763735945355516,-0.2544772842005489,-0.19854729424823556,-0.1730733474312119,-0.20658586137927312,-0.12286678283073994,-0.177707579135912
c_1_39_32,-0.17737728250978538,-0.1415499922757191,-0.11933800382523516,-0.1919306974414925,-0.14213804731553414,-0.2164587186888186,-0.2631790601043589,-0.17781304599451528,3.2327317886566105,-0.15391484283520143,-0.16827002555642304,-0.19617323963286998,-0.14192272380048548,-0.1122769728743356,-0.18458198705755358,-0.2557106474477131,-0.1412106197887362,-0.16708081857771742,-0.15754564403725538,-0.22444792824294124,-0.13749282858221182,2.4889474458225416,-0.11910319845378921,-0.1763735945355516,-0.2544772842005489,-0.19854729424823556,-0.1730733474312119,-0.20658586137927312,-0.12286678283073994,2.823786785455108
c_1_39_33,-0.17737728250978538,-0.1415499922757191,-0.11933800382523516,-0.1919306974414925,-0.14213804731553414,-0.2164587186888186,-0.2631790601043589,-0.17781304599451528,-0.22289099124313605,-0.15391484283520143,-0.16827002555642304,-0.19617323963286998,-0.14192272380048548,-0.1122769728743356,-0.18458198705755358,-0.2557106474477131,9.22293375785499,-0.16708081857771742,-0.15754564403725538,-0.22444792824294124,-0.13749282858221182,-0.2038141714863338,-0.11910319845378921,-0.1763735945355516,3.7385299315588134,-0.19854729424823556,-0.1730733474312119,-0.20658586137927312,-0.12286678283073994,-0.177707579135912
c_1_39_34,-0.17737728250978538,-0.1415499922757191,-0.11933800382523516,-0.1919306974414925,-0.14213804731553414,-0.2164587186888186,-0.2631790601043589,-0.17781304599451528,-0.22289099124313605,-0.15391484283520143,-0.16827002555642304,-0.19617323963286998,-0.14192272380048548,-0.1122769728743356,-0.18458198705755358,-0.2557106474477131,-0.1412106197887362,-0.16708081857771742,-0.15754564403725538,-0.22444792824294124,-0.13749282858221182,-0.2038141714863338,-0.11910319845378921,-0.1763735945355516,-0.2544772842005489,-0.19854729424823556,-0.1730733474312119,-0.20658586137927312,-0.12286678283073994,-0.177707579135912
c_1_39_35,-0.17737728250978538,-0.1415499922757191,-0.11933800382523516,2.078929134649509,-0.14213804731553414,-0.2164587186888186,-0.2631790601043589,-0.17781304599451528,1.7839077367846994,-0.15391484283520143,-0.16827002555642304,2.9986980494363777,-0.14192272380048548,-0.1122769728743356,-0.18458198705755358,-0.2557106474477131,-0.1412106197887362,-0.16708081857771742,-0.15754564403725538,1.6130223547897542,-0.13749282858221182,-0.2038141714863338,-0.11910319845378921,-0.1763735945355516,-0.2544772842005489,-0.19854729424823556,-0.1730733474312119,-0.20658586137927312,-0.12286678283073994,-0.177707579135912
