cell_id,ADGRA3,ADGRG5,ADGRL4,CCL4/L1/L2,CCND1,CD47,CD68,CLEC12A,CLEC2D,CNTFR,CSF1,EFNA1,FPR1,FYB1,HBA1/2,IFI44L,IL17B,IL1RN,IL20,ITGB2,LCN2,LDLR,LTBR,NR1H3,RELT,RXRA,TCAP,TNFRSF14,TNFRSF1B,TNFSF9
c_1_1_23,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_24,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,4.054951334381471,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_25,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,1.8944054616324275,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,4.47630961359001,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_26,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_27,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,5.741350666347661,-0.29676138613054914
c_1_1_29,-0.2581720223608192,5.492971514287383,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,3.8513907507860834,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_30,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,5.227366606799273,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,5.957379021132086,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_31,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_32,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_33,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,2.500273473673722,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_34,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,2.9019119741278745,2.7746111842564587,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_35,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_36,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,2.2981535591389224,3.276990318791827,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,2.827824142651399,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,2.373710725825408,-0.2985283675454875,2.6400994522718757,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_37,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_38,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,3.373863443203278,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_39,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,-0.38411733138535825,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,-0.2940207178796155,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,9.591010049128656,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
c_1_1_40,-0.2581720223608192,-0.24853452751320806,-0.21234553964645456,-0.31408220716725965,-0.33596542471370794,-0.24253029845088692,-0.3451372771564365,-0.2557953155545306,-0.30044382473785036,-0.280150676062087,3.190937827105123,-0.31394882664423845,-0.3200697089357454,-0.26776539986856807,-0.3709851034732636,-0.27378341952472024,-0.2751550251716883,-0.24919949693373267,-0.25772792735369277,-0.36074083764897524,-0.21991076984575586,4.601955748485156,-0.2744156929780267,-0.29278966036580395,-0.30238582341071646,-0.2985283675454875,-0.28480725995880346,-0.38144220563847137,-0.32005021760046337,-0.29676138613054914
